timeout,repetition,seed,sim_time,generated,accepted,blocked,blocking_prob,cold_start,cold_start_ratio,reuse_ratio,mean_warm_pool,mean_redundant,p95_active,p99_active,mean_cold_starting,mean_processing,mean_idle,mean_latency,mean_cpu,mean_ram,mean_power
0.0,1,43,10020,46860,46860,0,0.0,46860,1.0,0.0,0.0,0.0,15.18562874251497,17.419161676646706,46.869834102436876,9.875047921333556,0.0,12.137902561493611,320.17519933502996,96.6460750489039,538.1537324900925
0.5,1,43,10020,46925,46925,0,0.0,13919,0.2966222695791156,0.7033777304208844,1.5748502994011977,0.0,14.766467065868264,16.652694610778443,14.095938248735495,9.88649657285623,1.5044778229927158,5.120321695828955,144.9905644290772,51.09913011635357,259.3929815810809
1.0,1,43,10020,46493,46493,0,0.0,7871,0.16929430236809842,0.8307056976319016,3.07185628742515,0.0,14.491017964071856,16.353293413173652,7.649662080430594,9.794603531186743,2.6857970215255724,3.7591625502880976,109.91604480563274,44.19592324918151,203.31636533554564
1.5,1,43,10020,46631,46631,0,0.0,5037,0.10801827110720336,0.8919817288927966,3.8502994011976046,0.0,14.449101796407186,16.293413173652695,4.937896221300323,9.831311427737218,3.8132417457367884,3.1739400614236324,95.72252620824288,43.12868777378666,181.12196564790727
2.0,1,43,10020,46411,46411,0,0.0,3309,0.07129775268794036,0.9287022473120596,4.3532934131736525,0.0,14.449101796407186,16.197604790419163,3.1895102606690577,9.778605867119555,4.7749028477880255,2.800385598603206,86.04622428282391,42.850855269735234,165.93204255842758
2.5,1,43,10020,46454,46454,0,0.0,2145,0.046174710466267706,0.9538252895337322,5.598802395209581,0.0,14.55688622754491,16.143712574850298,2.0663526754025083,9.790956680917134,5.742627878901412,2.5581452596798173,80.17254367420091,43.70333152901856,157.51303797411296
3.0,1,43,10020,46526,46526,0,0.0,1340,0.028801100459957873,0.9711988995400421,6.9640718562874255,0.0,14.7125748502994,16.395209580838323,1.334201341481738,9.80710964846624,6.641756587674694,2.3999702999195147,76.4140458350301,44.977838432581734,152.66021923834663
3.5,1,43,10020,46450,46450,0,0.0,836,0.017997847147470398,0.9820021528525296,8.1437125748503,0.0,14.796407185628743,16.59880239520958,0.8236526091333528,9.7898108021176,7.548357466414704,2.289720233468535,73.60632927107194,46.518749154022856,148.6518082083933
4.0,1,43,10020,46429,46429,0,0.0,485,0.01044605742100842,0.9895539425789915,8.161676646706587,0.0,15.0,16.832335329341316,0.43424137914956745,9.786182350098604,8.261545034829757,2.2060886440209493,71.53313055138604,47.775519330334504,146.71086490870368
4.5,1,43,10020,46456,46456,0,0.0,292,0.00628551747890477,0.9937144825210952,8.62874251497006,0.0,15.071856287425149,16.98802395209581,0.2859769469596155,9.791603377733544,9.054278456601002,2.173990664967215,70.81766233453199,49.626950026735365,149.55799719085357
5.0,1,43,10020,46496,46496,0,0.0,164,0.0035271851342050927,0.9964728148657949,9.832335329341317,0.0,15.119760479041917,17.227544910179642,0.1652482117488035,9.80083584684981,9.954887247973435,2.1481041133284924,70.28169829860971,51.81042156321891,149.44801821697394
5.5,1,43,10020,46506,46506,0,0.0,118,0.002537307014148712,0.9974626929858513,10.67065868263473,0.0,15.137724550898204,17.353293413173652,0.11369678341381063,9.80238450330971,10.852735450066204,2.1369095498942077,70.0616776220352,54.0710417117987,157.92036207931358
6.0,1,43,10020,46482,46482,0,0.0,62,0.0013338496622348436,0.9986661503377652,11.784431137724551,0.0,15.167664670658683,17.4251497005988,0.06480091346994664,9.797251223576374,11.38014898101564,2.1263078076204738,69.79036843785765,55.35503493575061,173.6706449550138
6.5,1,43,10020,46489,46489,0,0.0,47,0.0010109918475338252,0.9989890081524662,12.251497005988025,0.0,15.149700598802395,17.449101796407184,0.04830498263124684,9.798428547463493,12.123812948972311,2.1226870638905315,69.74757499319514,57.2667369854568,173.66549519298778
7.0,1,43,10020,46487,46487,0,0.0,39,0.000838944220965001,0.999161055779035,13.568862275449101,0.0,15.161676646706587,17.473053892215567,0.04114446992644119,9.797898751259359,13.183756138472937,2.1211666180504936,69.7585389423839,60.01038883791961,173.6786519320153
7.5,1,43,10020,46493,46493,0,0.0,35,0.0007528014969995483,0.9992471985030005,14.293413173652695,0.0,15.173652694610778,17.520958083832337,0.03377153616241852,9.798999888679386,13.798016545688741,2.119563063086412,69.7575477631691,61.59921774673727,173.67746251695843
8.0,1,43,10020,46491,46491,0,0.0,33,0.0007098148028650707,0.999290185197135,15.023952095808383,0.0,15.173652694610778,17.51497005988024,0.03000190587094014,9.798957367695927,14.223964870000147,2.1187946787972436,69.75837873481134,62.700879843229494,173.67845968292926
8.5,1,43,10020,46491,46491,0,0.0,32,0.000688305263384311,0.9993116947366157,15.431137724550899,0.0,15.173652694610778,17.51497005988024,0.029959754021850818,9.798957367695927,14.637226983756525,2.1187855915249134,69.77881632810625,63.77529768970401,173.70298479488298
9.0,1,43,10020,46494,46494,0,0.0,31,0.0006667526992730245,0.9993332473007269,16.982035928143713,0.0,15.173652694610778,17.526946107784433,0.028642768661978894,9.799636788836672,16.260603389910017,2.118497518145542,69.85771560735782,67.99586778119969,173.79766392998621
9.5,1,43,10020,46494,46494,0,0.0,31,0.0006667526992730245,0.9993332473007269,17.934131736526947,0.0,15.173652694610778,17.526946107784433,0.028642768661978894,9.799636788836672,17.210493042921843,2.118497518145542,69.90521009000973,70.46558087903321,173.85465730916656
10.0,1,43,10020,46494,46494,0,0.0,31,0.0006667526992730245,0.9993332473007269,19.910179640718564,0.0,15.173652694610778,17.526946107784433,0.028642768661978894,9.799636788836672,19.185654862747658,2.118497518145542,70.00396818100057,75.60100161057657,173.973167018356
10.5,1,43,10020,46494,46494,0,0.0,31,0.0006667526992730245,0.9993332473007269,21.88622754491018,0.0,15.173652694610778,17.526946107784433,0.028642768661978894,9.799636788836672,21.160586803802463,2.118497518145542,70.10271477805362,80.73582465731882,174.0916629348198
11.0,1,43,10020,46494,46494,0,0.0,31,0.0006667526992730245,0.9993332473007269,21.88622754491018,0.0,15.173652694610778,17.526946107784433,0.028642768661978894,9.799636788836672,21.160586803802463,2.118497518145542,70.10271477805362,80.73582465731882,174.0916629348198
11.5,1,43,10020,46494,46494,0,0.0,31,0.0006667526992730245,0.9993332473007269,21.88622754491018,0.0,15.173652694610778,17.526946107784433,0.028642768661978894,9.799636788836672,21.160586803802463,2.118497518145542,70.10271477805362,80.73582465731882,174.0916629348198
12.0,1,43,10020,46494,46494,0,0.0,31,0.0006667526992730245,0.9993332473007269,21.88622754491018,0.0,15.173652694610778,17.526946107784433,0.028642768661978894,9.799636788836672,21.160586803802463,2.118497518145542,70.10271477805362,80.73582465731882,174.0916629348198
