timeout,repetition,seed,sim_time,generated,accepted,blocked,blocking_prob,cold_start,cold_start_ratio,reuse_ratio,mean_warm_pool,mean_redundant,p95_active,p99_active,mean_cold_starting,mean_processing,mean_idle,mean_latency,mean_cpu,mean_ram,mean_power
0.0,5,47,10020,23310,23310,0,0.0,23310,1.0,0.0,0.0,0.0,8.7125748502994,10.341317365269461,23.390516323068127,4.908793684731812,0.0,12.171171331693962,159.64808193209333,48.18071910199506,278.59685361289434
0.5,5,47,10020,23353,23353,0,0.0,10746,0.4601550122039995,0.5398449877960005,0.9401197604790419,0.0,8.610778443113773,10.053892215568862,10.831628352108963,4.9234835047566845,0.8490789389627983,6.755719309546222,92.60375466918096,31.462890835526938,171.03211018278787
1.0,5,47,10020,23511,23511,0,0.0,6866,0.2920335162264472,0.7079664837735528,1.407185628742515,0.0,8.52694610778443,9.982035928143713,6.825809529368317,4.958603163481966,1.5052958567295958,5.020183819750302,71.45232601424412,27.212281905214617,140.04073930230493
1.5,5,47,10020,23427,23427,0,0.0,4875,0.20809322576514278,0.7919067742348572,1.9760479041916168,0.0,8.395209580838323,9.70059880239521,4.86719645594008,4.94658689812829,2.1015739761699024,4.19765701755924,60.919085631936525,25.77361665964168,124.63288191905976
2.0,5,47,10020,23569,23569,0,0.0,3737,0.15855572998430142,0.8414442700156985,2.718562874251497,0.0,8.347305389221557,9.706586826347305,3.7587400193365106,4.977738469838171,2.6692162594287145,3.7122803424982873,55.23622135939083,25.65733449471566,114.39747895263072
2.5,5,47,10020,23449,23449,0,0.0,2863,0.12209475883832999,0.87790524116167,3.5209580838323356,0.0,8.32934131736527,9.730538922155688,2.889957319192724,4.951198743802174,3.1886391073164218,3.351237435864454,50.427630781981655,25.62643793978529,107.32516547116448
3.0,5,47,10020,23544,23544,0,0.0,2112,0.08970438328236494,0.910295616717635,3.532934131736527,0.0,8.389221556886227,9.70059880239521,2.1659457537132716,4.971201549312615,3.668192330815786,3.038286295931007,46.71876629057833,25.83242620744218,101.86487201888914
3.5,5,47,10020,23607,23607,0,0.0,1589,0.06731054348286525,0.9326894565171348,4.131736526946108,0.0,8.461077844311378,9.784431137724551,1.627070940677775,4.986820673761871,4.127052464289748,2.805724560511234,43.96853149239028,26.252683692843974,96.96695563917936
4.0,5,47,10020,23554,23554,0,0.0,1186,0.050352381761059696,0.9496476182389403,4.640718562874252,0.0,8.532934131736527,9.77245508982036,1.2325099165393862,4.973836763100799,4.567929334091601,2.6406013528051386,41.78839696479239,26.76915856194507,92.26012946728241
4.5,5,47,10020,23521,23521,0,0.0,902,0.03834870966370477,0.9616512903362953,4.778443113772455,0.0,8.48502994011976,9.874251497005988,0.9133055006787022,4.9666452157875245,4.967453637707124,2.5051786231783466,40.05007297750479,27.30708122943269,92.6821943644119
5.0,5,47,10020,23507,23507,0,0.0,678,0.0288424724550134,0.9711575275449866,5.520958083832335,0.0,8.538922155688622,9.928143712574851,0.6611509913119228,4.9648808518209915,5.376787046787167,2.39730594584385,38.70910954416148,27.985972150302587,89.03277131780509
5.5,5,47,10020,23465,23465,0,0.0,484,0.020626464947794586,0.9793735350522054,5.940119760479042,0.0,8.538922155688622,9.946107784431138,0.4919703269130256,4.954289343330592,5.712497718556074,2.325927737927558,37.74632021852787,28.575607341414017,91.81766103207592
6.0,5,47,10020,23441,23441,0,0.0,358,0.015272385990358774,0.9847276140096413,5.868263473053892,0.0,8.646706586826348,10.047904191616766,0.3382809157460727,4.949248555291829,6.066782877007143,2.2604977962899127,36.90635938679407,29.25147087786273,90.59125902734297
6.5,5,47,10020,23429,23429,0,0.0,283,0.012079047334499979,0.9879209526655001,6.502994011976048,0.0,8.676646706586826,10.125748502994012,0.2927697800162448,4.946087964717652,6.499588197989399,2.241020558131893,36.66229612495211,30.299762150158855,91.8692922163569
7.0,5,47,10020,23452,23452,0,0.0,211,0.008997100460515094,0.991002899539485,7.299401197604791,0.0,8.652694610778443,10.167664670658683,0.24395585006310144,4.950833463116021,6.923537853613806,2.2199409206104797,36.45569993622477,31.34075542635641,96.451085966288
7.5,5,47,10020,23436,23436,0,0.0,142,0.0060590544461512205,0.9939409455538488,7.383233532934132,0.0,8.706586826347305,10.221556886227544,0.14393426801331188,4.94779195625793,7.123709252039604,2.1774555186848263,35.90921124896698,31.70219972539976,93.156430613389
8.0,5,47,10020,23439,23439,0,0.0,114,0.004863688723921669,0.9951363112760784,7.604790419161676,0.0,8.724550898203592,10.269461077844312,0.12745260552623747,4.948724783039223,7.5565070607753695,2.170639168077538,35.84923201736962,32.805030723924354,96.86096018703059
8.5,5,47,10020,23451,23451,0,0.0,90,0.003837789433286427,0.9961622105667136,7.976047904191617,0.0,8.7125748502994,10.293413173652695,0.10144066497524187,4.951332928028721,7.839355256202195,2.1595425668312074,35.742545804469145,33.507991341674604,95.81615837787773
9.0,5,47,10020,23451,23451,0,0.0,70,0.002984947337000554,0.9970150526629994,8.275449101796408,0.0,8.760479041916168,10.32934131736527,0.06720200711347643,4.951576849038209,8.340459647043353,2.1449546103351684,35.58613896914775,34.75980145753522,102.65200625342622
9.5,5,47,10020,23453,23453,0,0.0,58,0.0024730311687204197,0.9975269688312796,8.664670658682635,0.0,8.760479041916168,10.353293413173652,0.060530749285875145,4.952560931646314,8.797757572479009,2.141994275129906,35.580230736776784,35.941280760781055,98.08906675076797
10.0,5,47,10020,23450,23450,0,0.0,41,0.001748400852878465,0.9982515991471216,9.359281437125748,0.0,8.760479041916168,10.37125748502994,0.04144501374411666,4.951661390832113,9.291564313468825,2.1339871896611746,35.496488616754185,37.19400202975326,101.68423129520897
10.5,5,47,10020,23459,23459,0,0.0,36,0.001534592267360075,0.9984654077326399,9.928143712574851,0.0,8.778443113772456,10.407185628742514,0.03744715232473026,4.953169219587804,9.585808064966779,2.1322507733844622,35.50041228188801,37.95694952424446,102.54913422871446
11.0,5,47,10020,23461,23461,0,0.0,32,0.0013639657303610247,0.998636034269639,10.305389221556887,0.0,8.784431137724551,10.425149700598803,0.030964817012653398,4.953689457274344,10.090953083512455,2.1295526495678687,35.494646309831865,39.26190126888041,102.54221506224685
11.5,5,47,10020,23457,23457,0,0.0,26,0.0011084111352687898,0.9988915888647312,10.646706586826348,0.0,8.784431137724551,10.425149700598803,0.02513478250096681,4.953241312839478,10.4036116191515,2.12702987135312,35.47593809659958,40.06483597101012,102.51976520636705
12.0,5,47,10020,23463,23463,0,0.0,22,0.0009376465072667605,0.9990623534927332,11.113772455089821,0.0,8.790419161676647,10.449101796407186,0.020793928149024865,4.9543319974148,10.735755429734194,2.1251623534081094,35.47698922891016,40.92471278204084,102.52102656514066
12.5,5,47,10020,23460,23460,0,0.0,20,0.0008525149190110827,0.9991474850809889,11.239520958083832,0.0,8.796407185628743,10.449101796407186,0.01797073600742388,4.953969865518283,10.947026865190177,2.1239886543375017,35.469902935492804,41.468806708523616,102.51252301303938
13.0,5,47,10020,23460,23460,0,0.0,20,0.0008525149190110827,0.9991474850809889,11.359281437125748,0.0,8.796407185628743,10.449101796407186,0.01797073600742388,4.953969865518283,11.061560604429188,2.1239886543375017,35.47562962245453,41.76659443054547,102.51939503739383
13.5,5,47,10020,23454,23454,0,0.0,18,0.0007674597083653108,0.9992325402916347,11.598802395209582,0.0,8.784431137724551,10.455089820359282,0.01725765285589235,4.952260231624363,11.313315154241012,2.1236193720945282,35.472383628809915,42.41560026369546,102.5154998450201
14.0,5,47,10020,23454,23454,0,0.0,18,0.0007674597083653108,0.9992325402916347,11.598802395209582,0.0,8.784431137724551,10.455089820359282,0.01725765285589235,4.952260231624363,11.313315154241012,2.1236193720945282,35.472383628809915,42.41560026369546,102.5154998450201
14.5,5,47,10020,23454,23454,0,0.0,18,0.0007674597083653108,0.9992325402916347,11.598802395209582,0.0,8.784431137724551,10.455089820359282,0.01725765285589235,4.952260231624363,11.313315154241012,2.1236193720945282,35.472383628809915,42.41560026369546,102.5154998450201
15.0,5,47,10020,23454,23454,0,0.0,18,0.0007674597083653108,0.9992325402916347,11.598802395209582,0.0,8.784431137724551,10.455089820359282,0.01725765285589235,4.952260231624363,11.313315154241012,2.1236193720945282,35.472383628809915,42.41560026369546,102.5154998450201
15.5,5,47,10020,23454,23454,0,0.0,18,0.0007674597083653108,0.9992325402916347,11.598802395209582,0.0,8.784431137724551,10.455089820359282,0.01725765285589235,4.952260231624363,11.313315154241012,2.1236193720945282,35.472383628809915,42.41560026369546,102.5154998450201
16.0,5,47,10020,23454,23454,0,0.0,18,0.0007674597083653108,0.9992325402916347,11.598802395209582,0.0,8.784431137724551,10.455089820359282,0.01725765285589235,4.952260231624363,11.313315154241012,2.1236193720945282,35.472383628809915,42.41560026369546,102.5154998450201
16.5,5,47,10020,23454,23454,0,0.0,18,0.0007674597083653108,0.9992325402916347,11.598802395209582,0.0,8.784431137724551,10.455089820359282,0.01725765285589235,4.952260231624363,11.313315154241012,2.1236193720945282,35.472383628809915,42.41560026369546,102.5154998450201
17.0,5,47,10020,23454,23454,0,0.0,18,0.0007674597083653108,0.9992325402916347,11.598802395209582,0.0,8.784431137724551,10.455089820359282,0.01725765285589235,4.952260231624363,11.313315154241012,2.1236193720945282,35.472383628809915,42.41560026369546,102.5154998450201
17.5,5,47,10020,23454,23454,0,0.0,18,0.0007674597083653108,0.9992325402916347,11.598802395209582,0.0,8.784431137724551,10.455089820359282,0.01725765285589235,4.952260231624363,11.313315154241012,2.1236193720945282,35.472383628809915,42.41560026369546,102.5154998450201
