timeout,repetition,seed,sim_time,generated,accepted,blocked,blocking_prob,cold_start,cold_start_ratio,reuse_ratio,mean_warm_pool,mean_redundant,p95_active,p99_active,mean_cold_starting,mean_processing,mean_idle,mean_latency,mean_cpu,mean_ram,mean_power
0.0,7,49,10020,23772,23772,0,0.0,23772,1.0,0.0,0.0,0.0,8.874251497005988,10.634730538922156,23.510860710146684,5.00624062514068,0.0,12.024953203694178,160.97697639403953,48.61775011035887,281.0018499864351
0.5,7,49,10020,23831,23831,0,0.0,10790,0.45277160001678485,0.5472283999832152,0.844311377245509,0.0,8.682634730538922,10.197604790419161,10.757324431083356,5.016162638670382,0.8631066381797265,6.631579937508099,92.85846438806927,31.629983263596923,171.73246594384653
1.0,7,49,10020,23594,23594,0,0.0,6834,0.2896499109943206,0.7103500890056794,1.4191616766467066,0.0,8.51497005988024,9.952095808383234,6.813838272462078,4.965668104480329,1.5113041338037676,5.00071412894845,71.43824673886647,27.22833697309456,141.05835847537256
1.5,7,49,10020,23759,23759,0,0.0,4831,0.20333347363104506,0.796666526368955,2.287425149700599,0.0,8.431137724550899,9.838323353293413,4.724895624776432,5.0065135970670465,2.1219060861878454,4.103344186318197,60.58007748425109,25.768613841851295,123.10983810755236
2.0,7,49,10020,23708,23708,0,0.0,3687,0.1555171250210899,0.8444828749789101,2.904191616766467,0.0,8.449101796407186,9.844311377245509,3.6056506857750406,4.996173611379718,2.708884945410807,3.6342518192277917,54.548775904172096,25.577608255429404,112.44523221575197
2.5,7,49,10020,23674,23674,0,0.0,2719,0.11485173608177748,0.8851482639182225,3.2934131736526946,0.0,8.389221556886227,9.808383233532934,2.645679311361267,4.98483505231594,3.2020144125566716,3.2298607205377916,49.357875454196744,25.380481069889594,104.78117730487062
3.0,7,49,10020,23844,23844,0,0.0,2082,0.08731756416708605,0.912682435832914,3.55688622754491,0.0,8.419161676646707,9.646706586826348,2.0879463953490585,5.021658456127997,3.7100599419308278,2.988608234844416,46.65827515879846,25.955700061067787,99.91821794258809
3.5,7,49,10020,23723,23723,0,0.0,1578,0.06651772541415504,0.933482274585845,3.9161676646706587,0.0,8.449101796407186,9.760479041916168,1.554013788902133,4.997861742454011,4.166144867089349,2.7667400706036007,43.65724906343658,26.272935240915288,94.50555328339625
4.0,7,49,10020,23666,23666,0,0.0,1177,0.049733795318177974,0.950266204681822,4.520958083832335,0.0,8.419161676646707,9.7125748502994,1.1739081227782977,4.984648945044214,4.57189413034069,2.6079807419609353,41.55108524704489,26.71930624030538,89.62561558481643
4.5,7,49,10020,23650,23650,0,0.0,826,0.03492600422832981,0.9650739957716702,4.736526946107785,0.0,8.48502994011976,9.784431137724551,0.8512276244664421,4.9799057873956984,4.939702455687154,2.470389337841669,39.80979059907408,27.17593326071353,88.68713844649393
5.0,7,49,10020,23743,23743,0,0.0,586,0.024680958598323716,0.9753190414016762,5.508982035928144,0.0,8.598802395209582,9.952095808383234,0.5977111638817236,5.002768799648318,5.432057690300986,2.3637673546066957,38.638822272811446,28.133148107326676,86.99977143687664
5.5,7,49,10020,23632,23632,0,0.0,395,0.01671462423832092,0.9832853757616791,5.802395209580839,0.0,8.616766467065869,10.011976047904191,0.3784299872803806,4.9779947778722,5.811880491091061,2.2717536322755296,37.31049774494759,28.724664875658323,85.7205975026995
6.0,7,49,10020,23669,23669,0,0.0,278,0.011745320883856521,0.9882546791161435,6.203592814371257,0.0,8.664670658682635,10.047904191616766,0.2882766945347255,4.986801605333138,6.20674523190169,2.2336607264146977,36.909832862849115,29.638255617666623,84.49100003737787
6.5,7,49,10020,23671,23671,0,0.0,208,0.008787123484432427,0.9912128765155676,6.419161676646707,0.0,8.706586826347305,10.119760479041917,0.21146833480531058,4.98680085546987,6.661283830864388,2.2011421126193054,36.521629796705355,30.704073387136056,80.39589695990388
7.0,7,49,10020,23673,23673,0,0.0,153,0.006463059181345837,0.9935369408186542,7.149700598802395,0.0,8.730538922155688,10.221556886227544,0.16352747431954565,4.9872625662593295,7.039733144890617,2.180623499368384,36.287314485658165,31.616860586539094,82.55783408855616
7.5,7,49,10020,23653,23653,0,0.0,100,0.004227793514564749,0.9957722064854353,7.431137724550898,0.0,8.736526946107784,10.281437125748504,0.10569167381650464,4.982438817829864,7.3643917799772005,2.1561277557219003,35.960214933261696,32.36100275811905,89.18625646645985
8.0,7,49,10020,23649,23649,0,0.0,62,0.002621675335109307,0.9973783246648907,7.479041916167665,0.0,8.748502994011975,10.293413173652695,0.06441467260344468,4.981996663664925,7.851203144550672,2.138660085760583,35.76061520122079,33.56322559026588,102.89828250882265
