timeout,repetition,seed,sim_time,generated,accepted,blocked,blocking_prob,cold_start,cold_start_ratio,reuse_ratio,mean_warm_pool,mean_redundant,p95_active,p99_active,mean_cold_starting,mean_processing,mean_idle,mean_latency,mean_cpu,mean_ram,mean_power
0.0,9,51,10020,23491,23491,0,0.0,23491,1.0,0.0,0.0,0.0,8.802395209580839,10.401197604790418,23.451427463597707,4.945179864824829,0.0,12.117527327395765,160.22975137998088,48.36802671604094,279.6048397529314
0.5,9,51,10020,23481,23481,0,0.0,10768,0.4585835356245475,0.5414164643754525,0.8682634730538922,0.0,8.658682634730539,10.197604790419161,10.927336754487703,4.948687582450202,0.8522075301697748,6.7742144613548625,93.29313571765358,31.681579543813648,172.54387991843396
1.0,9,51,10020,23528,23528,0,0.0,6844,0.29088745324719484,0.7091125467528052,1.5868263473053892,0.0,8.389221556886227,9.910179640718562,6.781207501309775,4.959307412430523,1.4955981570978127,4.9968996520783575,71.21817114925614,27.12156395604789,140.48549764181652
1.5,9,51,10020,23435,23435,0,0.0,4890,0.20866225730744611,0.7913377426925539,2.059880239520958,0.0,8.275449101796408,9.688622754491018,4.876948029346086,4.9451603783073965,2.0966479142207226,4.197119991417599,60.960981812219714,25.771796292486044,123.15116409855572
2.0,9,51,10020,23421,23421,0,0.0,3678,0.15703855514282056,0.8429614448571795,2.6407185628742513,0.0,8.311377245508982,9.640718562874252,3.5352893376535226,4.940852240015764,2.642871785116425,3.626366647181837,53.780132793018765,25.154786410026777,111.0918530685439
2.5,9,51,10020,23464,23464,0,0.0,2741,0.11681725196045005,0.88318274803955,2.820359281437126,0.0,8.317365269461078,9.664670658682635,2.815561900607151,4.946643407680009,3.144560836297349,3.3148418140262246,49.99538736605939,25.38756237243065,104.42975619674714
3.0,9,51,10020,23489,23489,0,0.0,2132,0.09076589041679084,0.9092341095832092,3.7365269461077846,0.0,8.353293413173652,9.754491017964073,2.1041173654218266,4.9518286382536845,3.659240768227403,3.0104270250301997,46.25134527034551,25.66503425141831,98.95376796595335
3.5,9,51,10020,23448,23448,0,0.0,1574,0.06712726032070966,0.9328727396792903,4.0359281437125745,0.0,8.341317365269461,9.646706586826348,1.5385482568106588,4.945834081561354,4.109231062195537,2.771468462918355,43.20590832042628,25.96529392319468,91.95686362808017
4.0,9,51,10020,23457,23457,0,0.0,1194,0.05090164982734365,0.9490983501726563,4.341317365269461,0.0,8.395209580838323,9.676646706586826,1.2465412192661582,4.946867332479118,4.568133324858164,2.646241908575072,41.67387953664783,26.720216296826525,89.9733944596203
4.5,9,51,10020,23437,23437,0,0.0,870,0.03712079191022742,0.9628792080897726,4.754491017964072,0.0,8.51497005988024,9.766467065868264,0.9136746074867785,4.940635259128419,4.917163684149033,2.503509391994667,39.86668320593701,27.10873861501484,88.01411987947223
