lambda,theta,repetition,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request,ram_usage_per_request_poly
10.0,0.01,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2056723347532662,2.6606344424859203,1.5518033891267005,2.6151257926436164
10.0,0.02,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2096575447865161,2.475370387935538,1.4851563808151715,2.5188633044551088
10.0,0.03,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2133707023964366,2.412444215321865,1.4680363284286717,2.4432653647433504
10.0,0.04,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2170701236742616,2.396187653323587,1.4674536380140828,2.3843965411337895
10.0,0.05,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2216043624665964,2.325245619230913,1.4383994923807146,2.338926697820678
10.0,0.06,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2266410721130211,2.3168933910231075,1.4417581323299715,2.3040585607137807
10.0,0.0699999999999999,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2285544938848461,2.289056831319165,1.4306308233760512,2.2774618091502328
10.0,0.08,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2297831603462688,2.2351224747449736,1.4053643941547806,2.2572132748134957
10.0,0.09,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2370586239205437,2.267719581056483,1.4240462731200887,2.241742845737398
10.0,0.0999999999999999,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2393542154895625,2.250627601253324,1.4196988289295605,2.2297846901668716
10.0,0.11,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2399953306858732,2.20953629631335,1.397981132560628,2.220333431598223
10.0,0.12,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2464474307048058,2.2316096262540817,1.4196229149767146,2.2126049225305753
10.0,0.13,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2507376049228164,2.215507232109247,1.408171601856755,2.206001280326533
10.0,0.14,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2507957602406996,2.1920090288666088,1.3977059925188662,2.200079864104124
10.0,0.15,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2539231694398081,2.2178093737716846,1.414476274786836,2.1945258867636293
10.0,0.16,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2532795475391244,2.183523121514143,1.393084565266403,2.1891283710921545
10.0,0.17,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2567916788990622,2.1546739400616355,1.3838153950298715,2.183759173385501
10.0,0.18,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2578656920627583,2.158107389547035,1.3901742520337013,2.1783548121813103
10.0,0.19,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2596440380796458,2.142985010873217,1.3727873977402518,2.1729008535094008
10.0,0.2,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2665242715830545,2.1748306267946367,1.399660607281233,2.1674186175347474
10.0,0.21,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2638385799233343,2.1503403668994503,1.3808772629372073,2.16195398459576
10.0,0.22,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2686991612122322,2.164474742269776,1.3907416305119649,2.1565680914251617
10.0,0.23,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2735676864745893,2.1554274658884363,1.3876069466831702,2.151329720783162
10.0,0.24,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2737715666594847,2.1336495120983114,1.3753259419431607,2.1463091998325448
10.0,0.25,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.276833892802297,2.150360607318809,1.387956133801507,2.1415736343427887
10.0,0.26,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2811558000768105,2.170404564383855,1.404461868534113,2.1371833172253747
10.0,0.27,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2811494784855408,2.1213472739905943,1.3713083405113236,2.133189160975327
10.0,0.28,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2844148231856983,2.1361826160645223,1.3798068051187429,2.129631014324065
10.0,0.29,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2852860285091582,2.138676283682716,1.3838627349749248,2.126536733796718
10.0,0.3,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2897869940035495,2.116121754266136,1.366785779445814,2.123921890912568
10.0,0.31,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2864615789586382,2.129952522616006,1.3782865784976623,2.121790005470057
10.0,0.32,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2879342021497566,2.1035830323841926,1.3695073548162382,2.120133204718916
10.0,0.33,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.293896750033913,2.1183682067741167,1.372128675156741,2.1189332172397135
10.0,0.34,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2988797247687483,2.1113303399214853,1.3649872272230688,2.1181626190273923
10.0,0.35,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2998917366237454,2.1331511114221624,1.3754005955535988,2.117786257608712
10.0,0.36,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3021468813724874,2.1342913452680063,1.3759628490867746,2.1177627880141725
10.0,0.37,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.306707953096993,2.139591172884701,1.3851254869167688,2.118046262074259
10.0,0.38,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3017085725155299,2.106936689325492,1.3614795221969829,2.118587719815454
10.0,0.39,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3056051860699859,2.1044468991357204,1.3634784379032496,2.1193367386957753
10.0,0.4,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3074489973397105,2.131542201603501,1.3752811089405828,2.120242903040588
10.0,0.41,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3109239897325895,2.1133876777130567,1.366346560175829,2.121257162318503
10.0,0.42,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3100297320319189,2.129521743710132,1.3777582949773317,2.1223330528344273
10.0,0.43,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3129310900332284,2.11050681421174,1.3627693871209208,2.12342776300973
10.0,0.44,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3084991725148978,2.103487516399446,1.3678616883242003,2.124503027672303
10.0,0.45,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3164652660234706,2.1320622600400942,1.379085736696966,2.125525841688361
10.0,0.46,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3194077611231049,2.13038578357957,1.3799873689584683,2.126468987835279
10.0,0.47,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3209242618033271,2.128331025632394,1.3786237894993896,2.1273113780371182
10.0,0.48,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3229995276140618,2.132866251545636,1.3822128756622356,2.1280382109702933
10.0,0.49,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3261110726035972,2.1263569996338614,1.3821714902539988,2.128640952583916
10.0,0.5,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3232975675397443,2.102925563306232,1.3591438365255653,2.1291171492762593
10.0,0.51,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3274163509629933,2.121238662561229,1.3732018491059477,2.1294700863258824
10.0,0.52,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3284480085065299,2.1197669946476174,1.373090229738427,2.129708306688458
10.0,0.53,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3302771373786699,2.14589515359756,1.3888927867045038,2.1298450074360153
10.0,0.54,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3327768729024196,2.127491048157641,1.379395143102873,2.129897332949637
10.0,0.55,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3350790878697982,2.1374003575559017,1.383170834364829,2.1298855854574987
10.0,0.56,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3296147496190639,2.117314101401944,1.37027552079226,2.1298323746534087
10.0,0.5700000000000001,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3392919616885318,2.1437780129605537,1.3889371395369945,2.1297617289335
10.0,0.5800000000000001,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3400188026084025,2.134518072387439,1.3822025086905356,2.1296981912450454
10.0,0.59,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3448239117187909,2.149995767317287,1.387719550982076,2.1296659226562205
10.0,0.6,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3443948803694296,2.131354204381703,1.3716271797740094,2.129687836533383
10.0,0.61,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3480420599887022,2.139058836248996,1.3799855509872432,2.1297847856363084
10.0,0.62,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3430385893261906,2.1398074244632976,1.3892740949930646,2.1299748235372866
10.0,0.63,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3485159602596643,2.128318456309917,1.3744735032429074,2.1302725605099844
10.0,0.64,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3418339882228098,2.1253445855034614,1.3736289406674909,2.1306886324417937
10.0,0.65,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3472414776060948,2.128253222414144,1.381129519028973,2.131229299386239
10.0,0.66,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3435409448304016,2.1180041924029798,1.3688072544479362,2.131896188077666
10.0,0.67,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3530814550836753,2.1330000954256154,1.3765198085385772,2.132686190133261
10.0,0.68,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3513418365516532,2.135856309216156,1.3780155564526209,2.1335915246650123
10.0,0.6900000000000001,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3539466137794628,2.121203386053662,1.3727033437503322,2.134599970759387
10.0,0.7000000000000001,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3550632151970441,2.149089278557876,1.3858170534626857,2.135695271579498
10.0,0.7100000000000001,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3598902369887426,2.1437868852868056,1.3827979315876662,2.1368577079121613
10.0,0.72,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3589800789245895,2.1363637850083625,1.383978434906899,2.138064834587856
10.0,0.73,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.3582261490778933,2.1268664767008265,1.3700294402294804,2.1392923685635927
