lambda,theta,repetition,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request,ram_usage_per_request_poly
5.0,0.6900000000000001,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4156480582912078,2.601445414030089,1.5388145499863073,2.6234520076422134
5.0,0.7000000000000001,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4190052866235059,2.621899869429728,1.53851303683506,2.623412387346689
5.0,0.7100000000000001,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4195746709213733,2.6328761824158478,1.5531796151630162,2.6232810145055216
5.0,0.72,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4291213358855009,2.6208997746669973,1.5390399934031396,2.623077840038234
5.0,0.73,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4307978505888075,2.6285322975928214,1.5407360490717308,2.622826637419421
5.0,0.74,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4339396757579691,2.6476742356114285,1.5579163440630597,2.622554621233774
5.0,0.75,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4332597851731982,2.658692989123145,1.570280965333723,2.622291951921027
5.0,0.76,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.427790148973761,2.62642529028647,1.5441662285030977,2.6220711198163533
5.0,0.77,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4408126839685375,2.616258911830068,1.5379019258351954,2.621926201589047
5.0,0.78,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4375652124323868,2.642851787562406,1.556988027648067,2.6218919821853595
5.0,0.79,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4338941457462046,2.6044343187003016,1.5364866670645028,2.6220029353790144
5.0,0.8,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.440946106829863,2.6341129077624403,1.548353763021286,2.6222920560338414
5.0,0.81,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4374867160006705,2.6137230632564497,1.540710855145944,2.6227895371833645
5.0,0.8200000000000001,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4537516522581101,2.646369895510076,1.551069192559841,2.6235212850305905
5.0,0.8300000000000001,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4498695938264572,2.654622309463852,1.564070419507235,2.6245072649741976
5.0,0.8400000000000001,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4479620098522581,2.5983602154237366,1.524606788232597,2.625759671764029
5.0,0.85,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4465752824148271,2.6233683264554672,1.5487197374679271,2.6272809168898155
5.0,0.86,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4516282756363405,2.618479431412564,1.5406970312113049,2.629061426310357
5.0,0.87,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4535019613936354,2.6087646831012723,1.52394405774996,2.6310772416233865
5.0,0.88,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.454199418796843,2.646787049243149,1.5556061328064186,2.6332874177837473
5.0,0.89,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4556057664693275,2.590953135394926,1.5261085743741345,2.635631210473405
5.0,0.9,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4630917239418237,2.673561924932176,1.5689779539448248,2.638025046227056
5.0,0.91,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4635434463192818,2.664395792617163,1.5621712205469862,2.640359268417426
5.0,0.92,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.461654725910787,2.600312628476747,1.5220552600386972,2.6424946522062944
5.0,0.93,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4704507816026132,2.6755251034195005,1.5655205646710313,2.6442586815644225
5.0,0.94,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.458721506308812,2.637449537853382,1.5450165493339705,2.645441581464154
5.0,0.95,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4668397450389931,2.6301560862982485,1.5440866756997975,2.645792098350369
5.0,0.96,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4652660269828146,2.654447888692478,1.5589108132373186,2.64501302199423
5.0,0.97,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.460395110991264,2.6153191707403893,1.5348523743630884,2.6427564418321188
5.0,0.98,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.473150183076531,2.6667694536101987,1.558233777670273,2.6386187308970355
5.0,0.99,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4689447631890263,2.6289655623230974,1.5464969739086354,2.632135250442473
5.0,1.0,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.4757511837487189,2.6254028476495828,1.536421545950059,2.6227747683716123
