lambda,theta,repetition,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request,ram_usage_per_request_poly
15.0,0.01,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2045093040016058,2.2962053507826403,1.4316076410343366,2.2881064492078242
15.0,0.02,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2089215052398142,2.1978356882929813,1.3995738243796785,2.211649627882935
15.0,0.03,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2122341368045161,2.153397733622297,1.388767644302193,2.152072545003983
15.0,0.04,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2141827753983163,2.113701383797644,1.3758891753090614,2.1059999598074666
15.0,0.05,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2184247113741743,2.0681341136651046,1.354816443400115,2.0706221252625663
15.0,0.06,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2212622745128043,2.040747111309705,1.3513403292326056,2.0436177359732213
15.0,0.0699999999999999,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2211122708992851,2.0246068350269764,1.3395062740379844,2.023085216291551
15.0,0.08,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2250301828242205,1.9925458153840312,1.3277383847561437,2.007481655536309
15.0,0.09,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2290983459770682,1.997592215225764,1.33722852879762,1.9955687389240009
15.0,0.0999999999999999,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2303452841297858,2.0043466436907624,1.3398657765153088,1.986365062910016
15.0,0.11,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2341841533652449,1.987315457596114,1.3304688619258644,1.9791042621335109
15.0,0.12,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.234958214736504,1.9784364232676144,1.3280763620298983,1.973198412093534
15.0,0.13,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2363437143429952,1.955029683535649,1.3181764066645068,1.9682062070859174
15.0,0.14,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2402753293738738,1.9660854530958771,1.3202434265380751,1.9638054468314827
15.0,0.15,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2409307702852708,1.955367484844991,1.3195211256439598,1.95976939765701
15.0,0.16,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2452248448606347,1.9535874760050371,1.323102703395425,1.9559466250819275
15.0,0.17,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.2487090822348871,1.9618926558098264,1.3275546733844572,1.9522439242466645
15.0,0.18,1,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,200,3,1,5,5,0.0,0.245093870883408,1.9407644794540044,1.3159418849245117,1.9486120028238911
