Scenario,MSE,MAPE,Runtime(s),blocking_ratios_Markov,blocking_ratios_Simulator,blocking_ratios_APE,waiting_requests_Markov,waiting_requests_Simulator,waiting_requests_APE,effective_arrival_rates_Markov,effective_arrival_rates_Simulator,effective_arrival_rates_APE,waiting_times_Markov,waiting_times_Simulator,waiting_times_APE
Random Scenario 1,2.3328625906479136e-05,1.1678712531398827,0.2202010154724121,0.6842105263157895,0.6799693546453984,0.6237298256776321,0.15789473684210528,0.15635828449655328,0.9826485053216778,0.47368421052631576,0.4800459680319024,1.3252392331652432,0.33333333333333337,0.32763295421277056,1.7398674483949772
Random Scenario 2,0.0005807719198919772,1.1207270706700585,0.8037302494049072,0.5380393517478181,0.5305201381244549,1.4173285956581991,2.5740739280977363,2.6103383210122977,1.3892602588195524,1.8940386578339454,1.924867433689735,1.6016051451758673,1.3590398049433112,1.358025166177081,0.07471428302661497
Random Scenario 3,2.5510983960146012e-05,17.61635935944528,2.9056453704833984,3.1791117380788426e-05,0.00010126582278481013,68.60627158647144,0.8912695493036348,0.8812141372305888,1.1410861047517133,7.999745671060953,7.999189873417722,0.006948174152969579,0.11141223558241341,0.11062554242309845,0.7111315724050133
Random Scenario 4,0.0004968479369853733,1.0320440330235414,0.425386905670166,0.6060024407792015,0.5982184276678855,1.3011991525673157,4.21523433016985,4.216107688041329,0.02071479042045792,0.9061943862078364,0.9240976163638631,1.9373743464973177,4.65157850713399,4.611509660334599,0.8688878426090748
Random Scenario 5,1.73865059522552e-05,3.1175675657508286,0.5004544258117676,0.03173682810580505,0.03577701878845839,11.292697992926962,1.0672965027126962,1.0647258153838552,0.24144125104303307,1.2587421234624534,1.2534898755750041,0.41900999679314865,0.8479071946657804,0.8435450459013589,0.5171210222401708
Random Scenario 6,0.0003904271440131512,0.6899296863099661,2.28407883644104,0.32766061927389606,0.3235239111088357,1.2786406268650499,1.931459563817614,1.9188886073936318,0.6551165281582944,6.051054426534936,6.088284800020478,0.6115084084998277,0.31919388385399816,0.31851082725084656,0.21445318171669278
Random Scenario 7,3.5842102587385676e-05,4.213460561859436,0.4013652801513672,0.8862559241706162,0.8873123269190918,0.11905647159705841,0.052132701421800993,0.05593319845891862,6.794707153943625,0.5004739336492889,0.495825761555996,0.937460788383823,0.1041666666666668,0.11447215753535174,9.002617833513238
Random Scenario 8,0.0003574851605437328,0.9303104212784403,0.9498634338378906,0.41180506282210666,0.41344620113055813,0.3969411991121993,2.9541145175798027,2.9279295634808973,0.8943163942706049,2.3527797487115736,2.3462151954777672,0.27979331335246826,1.2555848116244333,1.2291556208137746,2.1501907783784886
Random Scenario 9,0.0019631211339875285,0.7592107044584917,0.24822783470153809,0.731365019639302,0.730825390625007,0.07383829587988953,1.5468710442519926,1.5458268431498552,0.067549681050286,0.4835429646492564,0.4845142968749876,0.20047545180732246,3.1990353646734038,3.2876364904802613,2.694979389096469
Random Scenario 10,0.0007781906684052335,5.472004357375839,0.7626926898956299,0.8563430984946268,0.8603791946176509,0.4691066623034464,0.33751414483573644,0.3655038829103862,7.657849720166246,1.2067179726451354,1.1728147652117318,2.890755508802188,0.2796959625088725,0.31380783272946805,10.870305538231475
