case_id,model_type,arrival_rate,service_rate,num_servers,warm_percent,spawn_time,blocking_probability,latency,cpu_usage,ram_usage
0,Markov,10.0,0.25,5,0.3,2,0.8127097396604895,5.219588744148223,381.5097649353733,370.4914881945955
1,Markov,10.0,0.25,5,0.3,4,0.8407716689315474,6.16410275357935,328.8709876826903,360.4432142552306
2,Markov,10.0,0.25,5,0.3,8,0.8691736136607515,7.531071938306251,275.58822558066566,350.21137625233905
3,Markov,10.0,0.25,5,0.5,2,0.7969057255503843,4.802131224842783,411.2101908773884,377.8551429903895
4,Markov,10.0,0.25,5,0.5,4,0.8169042012526124,5.34259014744458,373.7006701623491,370.731888760998
5,Markov,10.0,0.25,5,0.5,8,0.8371516321738508,6.024372659697199,335.7211033618773,363.488949707066
6,Markov,10.0,0.25,5,0.7,2,0.78116425961632,4.445907940711333,440.7970808694391,385.356831067146
7,Markov,10.0,0.25,5,0.7,4,0.7931333887652607,4.71197894731384,418.34994490414067,381.11744775467014
8,Markov,10.0,0.25,5,0.7,8,0.805255473006209,5.014625023486769,395.6150163674551,376.814512421264
9,Markov,10.0,0.25,5,1.0,2,0.7576877122418081,3.999999999999997,484.93208400605585,396.9249151032767
10,Markov,10.0,0.25,5,1.0,4,0.7576877122418081,3.999999999999997,484.93208400605585,396.9249151032767
11,Markov,10.0,0.25,5,1.0,8,0.7576877122418081,3.999999999999997,484.93208400605585,396.9249151032767
12,Markov,10.0,0.25,15,0.3,2,0.4464253126185546,5.211403482549843,1127.5365024748992,1094.9719486833696
13,Markov,10.0,0.25,15,0.3,4,0.5265508922008387,6.155885972002923,977.7883428848164,1071.801017096571
14,Markov,10.0,0.25,15,0.3,8,0.609627054162085,7.526871672107897,822.3188087904705,1045.70705624004
15,Markov,10.0,0.25,15,0.5,2,0.40205332361680096,4.790620761088823,1210.612938529701,1114.6528212886356
16,Markov,10.0,0.25,15,0.5,4,0.4579923374481651,5.331608586531295,1106.204700898388,1099.8482994726014
17,Markov,10.0,0.25,15,0.5,8,0.5163209443875968,6.0196352270975915,997.200883076654,1083.0564889408083
18,Markov,10.0,0.25,15,0.7,2,0.35916358932802894,4.434031621328186,1290.9465282335673,1136.6635039658713
19,Markov,10.0,0.25,15,0.7,4,0.39167387426480615,4.700685660011623,1230.3690221575032,1129.0776860419237
20,Markov,10.0,0.25,15,0.7,8,0.42577632297068646,5.009486754670201,1166.7668988437235,1120.5415090923254
21,Markov,10.0,0.25,15,1.0,2,0.29930666082847684,4.0,1403.3589447761854,1180.2773356686093
22,Markov,10.0,0.25,15,1.0,4,0.29930666082847684,4.0,1403.3589447761854,1180.2773356686093
23,Markov,10.0,0.25,15,1.0,8,0.29930666082847684,4.0,1403.3589447761854,1180.2773356686093
24,Markov,10.0,0.25,30,0.3,2,0.02973645380563757,5.109179752650311,1973.526384549622,1896.682430633877
25,Markov,10.0,0.25,30,0.3,4,0.10494685802962919,6.068650068503184,1846.3662279999664,2008.9523028587478
26,Markov,10.0,0.25,30,0.3,8,0.23543240423718895,7.478069345311982,1609.6251567985619,2042.4756410638076
27,Markov,10.0,0.25,30,0.5,2,0.009668718931984557,4.5849314213000145,2000.0131050829582,1817.4808078408907
28,Markov,10.0,0.25,30,0.5,4,0.032349759228284876,5.10352642040285,1969.3075761685923,1927.7566601491467
29,Markov,10.0,0.25,30,0.5,8,0.08748518765270923,5.8570348256015015,1877.8390446899043,2027.563228371679
30,Markov,10.0,0.25,30,0.7,2,0.0025387383051861554,4.172107261555281,2005.6075892347226,1813.48779830992
31,Markov,10.0,0.25,30,0.7,4,0.005416791102084465,4.333635676089533,2004.656227093033,1856.9303483559372
32,Markov,10.0,0.25,30,0.7,8,0.012740449291983048,4.612875931868969,1998.2060859874987,1927.1842479947281
33,Markov,10.0,0.25,30,1.0,2,0.0006794652435398118,3.9999999999999964,2018.6682481226603,2199.728213902584
34,Markov,10.0,0.25,30,1.0,4,0.0006794652435398118,3.9999999999999964,2018.6682481226603,2199.728213902584
35,Markov,10.0,0.25,30,1.0,8,0.0006794652435398118,3.9999999999999964,2018.6682481226603,2199.728213902584
36,Markov,10.0,1.0,5,0.3,2,0.5151559934121318,1.8947555308912112,255.75715320604365,333.70198609006434
37,Markov,10.0,1.0,5,0.3,4,0.5975780943263257,2.3367694496416087,217.669956334662,331.97168158153926
38,Markov,10.0,1.0,5,0.3,8,0.6559042319859957,2.7706742543840055,190.64697374763983,330.04208894580046
39,Markov,10.0,1.0,5,0.5,2,0.4137987886588404,1.5122929986890639,302.74933073092757,343.75817051102194
40,Markov,10.0,1.0,5,0.5,4,0.46973723480424223,1.710703811280274,277.07669741257223,344.3486895963165
41,Markov,10.0,1.0,5,0.5,8,0.5101390352106399,1.8788312686707314,258.48515815797714,344.2815789197954
42,Markov,10.0,1.0,5,0.7,2,0.32319406373120774,1.2536819335370806,344.64417912067967,354.9426409707978
43,Markov,10.0,1.0,5,0.7,4,0.3542878651306909,1.339178497133986,330.51682540926134,356.70059029423714
44,Markov,10.0,1.0,5,0.7,8,0.3773518105648926,1.4071509141120015,320.0198559325366,357.8250445243175
45,Markov,10.0,1.0,5,1.0,2,0.21458234310734733,1.0,394.85465187739976,378.5417656892653
46,Markov,10.0,1.0,5,1.0,4,0.21458234310734733,1.0,394.85465187739976,378.5417656892653
47,Markov,10.0,1.0,5,1.0,8,0.21458234310734733,1.0,394.85465187739976,378.5417656892653
48,Markov,10.0,1.0,15,0.3,2,0.0015473374336011558,1.5441632169591333,517.2580471070593,614.3398120362349
49,Markov,10.0,1.0,15,0.3,4,0.017980694136560657,2.0396017601483103,523.369002336531,751.042805164564
50,Markov,10.0,1.0,15,0.3,8,0.08055944964618551,2.6762236047566486,507.68799322566605,882.0949894001903
51,Markov,10.0,1.0,15,0.5,2,1.6683671157109014e-05,1.0729617408721204,507.5454433272182,582.8305672539769
52,Markov,10.0,1.0,15,0.5,4,7.902715008883076e-05,1.1456831862161487,509.695606078353,604.6189747684136
53,Markov,10.0,1.0,15,0.5,8,0.0003936211457527238,1.2889403276357592,513.8329567202353,647.4396135672924
54,Markov,10.0,1.0,15,0.7,2,7.284357655034314e-07,1.001777009025624,511.0618383370667,730.7995806354573
55,Markov,10.0,1.0,15,0.7,4,1.0695540383434397e-06,1.0035526547890383,511.114937075673,731.3321371655767
56,Markov,10.0,1.0,15,0.7,8,1.4824624420711528e-06,1.0071020092397953,511.2212110531327,732.3967763188307
57,Markov,10.0,1.0,15,1.0,2,1.711571872328791e-07,1.0000000000000002,519.9999161329783,999.9999828842813
58,Markov,10.0,1.0,15,1.0,4,1.711571872328791e-07,1.0000000000000002,519.9999161329783,999.9999828842813
59,Markov,10.0,1.0,15,1.0,8,1.711571872328791e-07,1.0000000000000002,519.9999161329783,999.9999828842813
60,Markov,10.0,1.0,30,0.3,2,1.583994430319493e-17,1.0142848763158037,508.49997067105375,646.4281943421112
61,Markov,10.0,1.0,30,0.3,4,9.628824771660158e-17,1.0285697526316009,508.9285169605271,650.7136572368502
62,Markov,10.0,1.0,30,0.3,8,9.095660970304996e-15,1.0571395052631283,509.78560953946834,659.2845830263046
63,Markov,10.0,1.0,30,0.5,2,9.391671484124741e-18,1.0000003423143777,520.0000119810039,1000.0001540414694
64,Markov,10.0,1.0,30,0.5,4,1.087697904946096e-17,1.0000006846287532,520.000022250435,1000.0002567357822
65,Markov,10.0,1.0,30,0.5,8,1.2174450090401086e-17,1.0000013692575054,520.0000427892977,1000.0004621244078
66,Markov,10.0,1.0,30,0.7,2,1.1925132339508542e-17,1.000000000000068,532.0000000000031,1360.00000000003
67,Markov,10.0,1.0,30,0.7,4,1.2743478492867806e-17,1.0000000000001346,532.0000000000053,1360.0000000000498
68,Markov,10.0,1.0,30,0.7,8,1.3356866823901073e-17,1.0000000000002667,532.0000000000091,1360.0000000000896
69,Markov,10.0,1.0,30,1.0,2,5.605982450186164e-18,1.000000000000001,550.0000000000005,1900.0
70,Markov,10.0,1.0,30,1.0,4,5.605982450186164e-18,1.000000000000001,550.0000000000005,1900.0
71,Markov,10.0,1.0,30,1.0,8,5.605982450186164e-18,1.000000000000001,550.0000000000005,1900.0
72,Markov,10.0,4.0,5,0.3,2,0.07666105224606275,0.6951366232156246,128.95314551506533,251.80001737809474
73,Markov,10.0,4.0,5,0.3,4,0.14584029823863545,0.8884133757171425,124.33458968548467,285.1705919737469
74,Markov,10.0,4.0,5,0.3,8,0.20418926290585146,1.0338826630388995,119.39642694004134,302.8902738866124
75,Markov,10.0,4.0,5,0.5,2,0.006699473012227932,0.37691354144849837,130.61879229358573,217.37887274059807
76,Markov,10.0,4.0,5,0.5,4,0.015014021464523457,0.47220456551228934,132.36362655085367,244.38894603341697
77,Markov,10.0,4.0,5,0.5,8,0.029011423309919286,0.5854906080765925,133.82062631916938,275.05595583877965
78,Markov,10.0,4.0,5,0.7,2,0.0007167400997902437,0.2685458349653672,129.99134128845583,241.23681456485042
79,Markov,10.0,4.0,5,0.7,4,0.001024254193559111,0.28587177027959054,130.47197660813532,246.39680896947988
80,Markov,10.0,4.0,5,0.7,8,0.0016236039396978603,0.31698401447759617,131.32826480484826,255.6489431446687
81,Markov,10.0,4.0,5,1.0,2,0.00021573847979176297,0.25000000000000006,132.47357203622556,324.9946065380052
82,Markov,10.0,4.0,5,1.0,4,0.00021573847979176297,0.25000000000000006,132.47357203622556,324.9946065380052
83,Markov,10.0,4.0,5,1.0,8,0.00021573847979176297,0.25000000000000006,132.47357203622556,324.9946065380052
84,Markov,10.0,4.0,15,0.3,2,2.780779376638729e-16,0.25172628026341404,131.55394625823172,295.58261958890216
85,Markov,10.0,4.0,15,0.3,4,1.236232241848642e-15,0.253452560526824,131.60573466613388,296.10050366792507
86,Markov,10.0,4.0,15,0.3,8,3.664290175780709e-15,0.25690512105362967,131.70931148193776,297.1362718259665
87,Markov,10.0,4.0,15,0.5,2,3.3851945993341848e-18,0.2500001169214836,137.50000365379645,475.00003946100065
88,Markov,10.0,4.0,15,0.5,4,3.6209132554082145e-18,0.2500002338429669,137.50000716144092,475.00007453744564
89,Markov,10.0,4.0,15,0.5,8,3.76886598259911e-18,0.2500004676859336,137.5000141767299,475.0001446903357
90,Markov,10.0,4.0,15,0.7,2,2.4673694765158565e-18,0.25000000000073114,143.50000000002294,655.0000000002467
