case_id,model_type,arrival_rate,service_rate,num_servers,timeout,spawn_time,blocking_probability,latency,cpu_usage,ram_usage
0,Markov,19.157741681132553,0.64424503735014,10,4.71744108567312,2.1623334636366955,0.39209475747614864,1.601665233724848,905.6884545285906,778.0657936000243
1,Markov,8.568523611239815,0.39310177192705664,20,5.440661849553684,7.800331661418352,0.01101722944575905,3.2705073511507767,1088.3059626233353,1175.8573990484547
2,Markov,25.910435351116167,1.1671347254533815,11,9.410881699814178,3.8765746882362415,0.1890387428165115,0.9096855750845629,903.9775574757032,834.4053680057335
3,Markov,9.458342486040879,1.7784971190471843,5,9.167678878150697,7.950585500030888,0.11602546799548641,0.8291229142464088,239.85993669977805,332.15838894876094
4,Markov,18.3896475070669,3.8359742683443683,13,1.3936472460123492,9.344982651681931,0.078168389182704,1.2177147095446101,239.6059970663458,736.0638369175117
5,Markov,26.34525800197163,3.54920733314043,16,4.839868198889025,2.900615818779835,4.389928729676102e-05,0.4044136615022867,379.7497095173869,555.5960221239741
6,Markov,11.319381826812979,3.0399154496744996,18,7.771471579825691,1.6368367091822331,1.5496381807905644e-12,0.40643744967181494,191.22030296373282,300.1758259766942
7,Markov,25.3642868227509,0.8167635154325132,5,3.016988774073405,7.672488486821283,0.719518637486366,1.3534716755747593,436.7920784260119,386.80572395964936
8,Markov,24.484883928156382,1.5406610106216174,20,1.9685248915777502,2.3450462204482383,0.0006454098956848409,0.8645019182982222,803.8062014667132,926.1789349121271
9,Markov,7.489795869930059,2.0536652839854943,8,6.282343392512129,1.106351372190755,6.95020820789907e-05,0.5682255130804903,186.40515363104205,267.8488211238009
10,Markov,14.044558759019386,2.152338056084238,12,4.532077721270595,6.922659178795388,0.006903606739420417,0.9203195026837967,334.52762192981356,574.7233778603076
11,Markov,15.826270206794298,2.3092622489500236,4,0.558486660101276,1.5958291708608663,0.3735078327841108,0.6801538444188314,217.98732209751233,270.97255931112966
12,Markov,6.1345077500515774,3.209221139831822,9,1.7056071829108435,9.257008352612713,0.04222053789044864,1.9799268808494532,103.14930888571526,421.4823914323394
13,Markov,13.629594021878631,3.3646561537056314,11,8.466854358883047,5.821738942359771,0.0005204519873989543,0.5321747026653592,210.29125279839752,397.6281625431261
14,Markov,16.391398035914523,2.17586948078129,17,2.866795238008957,5.844654966515402,0.0008137637208221377,0.9590516079945327,388.5493404159276,666.8658054277618
15,Markov,19.85588852795989,0.7720877559387986,14,4.589670612418843,6.993191889444367,0.18549715927862684,1.5393744017263051,1053.8751129106322,1034.0959440215163
16,Markov,25.461227031506823,3.7249783598636843,8,5.785129167576243,1.65853054788973,0.009454770328238915,0.32431113936756467,344.85427703958146,460.49018954888015
17,Markov,6.076089186597173,3.183903872326412,3,8.958066090336589,1.5532781123252692,0.028410579049906397,0.39246711635096526,95.83951521704948,168.11333740414443
18,Markov,11.240668251008781,3.948170779051476,6,4.157294706844455,5.240328111123979,0.031053087030695113,0.5958975281134743,144.62441215916647,311.1072542802118
19,Markov,18.77157173638281,3.992246902765902,15,6.553927962839514,6.471440396270041,0.00015622336703979223,0.5104458206593585,244.88400101164527,482.6626919548122
20,Markov,22.66389628508772,0.541934325529722,13,5.931427407328871,8.743978946020704,0.44439991032260695,1.973808647702519,1164.487285766008,1010.9292360050808
21,Markov,20.277818952449948,3.4702155927161273,1,9.592026631054916,0.9111978778422234,0.7181193775892576,0.2934867282555204,82.70743264591735,76.40139146469323
22,Markov,8.67541270460896,2.5894037011490614,19,1.382571109594816,8.58154640120462,0.0003570537525536321,1.969904450443607,183.40500021962043,612.3832762540657
23,Markov,27.499892668598108,2.5812725161537697,10,3.8710780775072857,7.405881160534503,0.10096715126171327,0.6406275285262388,488.4305001874689,669.1036222675311
24,Markov,25.507631160281406,0.4611867486978983,12,7.114024014773129,9.070372646776953,0.5928318758928083,2.2475260766760004,1127.4644533700427,944.8325329573158
25,Markov,23.333292665222544,3.7251034496078814,9,3.8214452009568065,2.8425332039946176,0.010328100466540407,0.4090747093133005,317.5682829911303,476.35650100110115
26,Markov,23.41580521264155,3.4594334486496834,13,9.023982505725039,7.00001354806674,0.0014633769815235109,0.4851794297944884,348.43560881519073,585.253913447651
27,Markov,15.108367811820992,2.005894989750508,12,5.613520088577115,5.69907522181616,0.004554014168431823,0.813667769982333,384.2920347540485,582.1443529723858
28,Markov,29.195491781901925,3.64654571818925,12,1.4747063577774064,5.209305950701972,0.06427370879938507,0.6699012991537573,388.45652022944125,715.7484700796704
29,Markov,12.275791518646225,0.5571402248886639,8,4.135790824758539,1.0872541496507115,0.3566203473418499,1.8384798124672972,710.4519383597298,616.6645670891527
30,Markov,15.005537608810888,1.4646430611307075,16,3.3633913109418456,8.340671139478065,0.010825600971891267,1.3635338176058303,520.8932453015544,830.7577650364477
31,Markov,8.57738447542194,2.3956136507895955,14,5.541097304408498,7.451371175376044,0.00010035731771767684,0.9856972032170408,187.5027914501532,398.145519483232
32,Markov,10.46248451098952,2.273001782980213,1,0.8308770225270024,0.8635837861519993,0.7052970107687689,0.538571789396971,68.4216364277034,72.16002961890389
33,Markov,14.15090396656518,1.7524537843460763,3,9.701906080839137,0.7506523865649413,0.40113627413075786,0.5802310624192761,242.92163333259217,227.42510230959147
34,Markov,14.173127762896376,1.4369296381373933,18,0.9033618203127662,7.284834142032333,0.037362695807964315,2.013307706724311,494.95034965769594,985.8769524195616
35,Markov,11.975689110433159,1.3190317623086758,15,1.1111740650063042,5.755927398860711,0.024146494923623838,1.786937049342566,457.34029097483534,784.7229805523418
