lambda,theta,repetition,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
20.0,0.01,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.9006033104686,10.005514596710125,401.8198169143623,500.30330281905754
20.0,0.02,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.9006576542539141,10.011021254321097,401.9838257778019,500.33063762963394
20.0,0.03,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.9007118607226857,10.016519999113441,402.14759988474833,500.3579333141238
20.0,0.04,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.9007659304839232,10.02201085720072,402.31114000607863,500.3851900010118
20.0,0.05,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.9008198641424842,10.027493854531215,402.47444690780833,500.41240781796853
20.0,0.060000000000000005,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.9008736622991097,10.032969016889043,402.63752135112355,500.4395868918554
20.0,0.06999999999999999,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.9009273255504692,10.038436369896264,402.80036409244406,500.4667273487384
20.0,0.08,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.9009808544891974,10.043895939014352,402.9629758834699,500.4938293139107
20.0,0.09,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.9010342497039303,10.049347749545392,403.12535747120916,500.5208929118665
20.0,0.09999999999999999,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.9010875117793463,10.054791826634055,403.28750959804256,500.5479182663416
20.0,0.11,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.9011406412961989,10.060228195268559,403.44943300174606,500.57490550029
20.0,0.12,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.901193638831361,10.065656880282992,403.61112841556525,500.6018547359272
20.0,0.13,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.9012465049578541,10.071077906357932,403.7725965682287,500.62876609470584
20.0,0.14,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.901299240244886,10.076491298022221,403.9338381840002,500.65563969733336
20.0,0.15000000000000002,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.9013518452578899,10.081897079654658,404.094853982733,500.68247566379074
20.0,0.16,1,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.9014043205585547,10.08729527548494,404.25564467989057,500.70927411331644
