timeout,repetition,seed,sim_time,generated,accepted,blocked,blocking_prob,cold_start,cold_start_ratio,reuse_ratio,mean_warm_pool,mean_redundant,p95_active,p99_active,mean_cold_starting,mean_processing,mean_idle,mean_latency,mean_cpu,mean_ram,mean_power
0.0,9,51,10020,94362,94362,0,0.0,94362,1.0,0.0,0.0,0.0,27.38323353293413,30.449101796407184,94.43247666210618,19.86506744933286,0.0,12.139829804829116,644.8651743111401,194.63951647770614,1061.93144102103
0.5,9,51,10020,93931,93931,0,0.0,15933,0.16962451160958575,0.8303754883904142,2.682634730538922,0.0,26.49700598802395,28.952095808383234,15.805991703452916,19.801924245978828,2.7272080188574788,3.798692212837269,223.9059434636588,82.83882984582111,390.9013474847067
1.0,9,51,10020,93641,93641,0,0.0,7795,0.08324345105242362,0.9167565489475764,4.562874251497006,0.0,26.101796407185628,28.526946107784433,7.718689899598248,19.741233158823317,5.028673886801856,2.9387164986933807,180.32729376372893,76.4518047302494,322.21032603420866
1.5,9,51,10020,93684,93684,0,0.0,4231,0.04516246103923829,0.9548375389607617,7.790419161676646,0.0,26.239520958083833,28.431137724550897,4.171704845367372,19.750963445493685,7.197978992337117,2.5585092733956047,161.5277928941631,76.76154392380145,289.76317305105994
2.0,9,51,10020,93652,93652,0,0.0,2079,0.022199205569555375,0.9778007944304447,9.724550898203592,0.0,26.58682634730539,28.934131736526947,2.141390135689334,19.745184993896693,9.232542968195215,2.342285897614273,150.7267148814459,78.97049550622025,277.5730929089767
2.5,9,51,10020,93681,93681,0,0.0,1009,0.010770593823720925,0.9892294061762791,11.335329341317365,0.0,26.88622754491018,29.395209580838323,1.0139597269390381,19.749785450367604,11.060262079441207,2.221261112562964,144.81868935918587,82.03219847419238,268.7990018482346
3.0,9,51,10020,93684,93684,0,0.0,458,0.004888775030955125,0.9951112249690449,12.796407185628743,0.0,27.197604790419163,29.994011976047904,0.47867082493435814,19.751078503831188,12.939739866368928,2.1641364584748533,142.05795778865496,86.11394227824908,277.8493986608707
3.5,9,51,10020,93678,93678,0,0.0,205,0.0021883473174064347,0.9978116526825935,14.886227544910179,0.0,27.335329341317365,30.293413173652695,0.2201341100517053,19.750079349325564,14.727919693240736,2.1365496407641418,140.75717129919883,90.37020160383896,300.8498174939418
4.0,9,51,10020,93704,93704,0,0.0,131,0.0013980192948006489,0.9986019807051993,17.562874251497007,0.0,27.37125748502994,30.526946107784433,0.1475489328706847,19.75650765157191,16.835462922863258,2.1287919528049115,140.51940872755614,95.75705253520012,318.5582555891857
4.5,9,51,10020,93705,93705,0,0.0,95,0.0010138199669174537,0.9989861800330826,18.70059880239521,0.0,27.407185628742514,30.580838323353294,0.10665802004145722,19.755814458973802,18.21901302173874,2.12440865127769,140.3649467048962,99.29072134929696,318.3729011620029
5.0,9,51,10020,93705,93705,0,0.0,85,0.0009071020756629849,0.999092897924337,20.736526946107784,0.0,27.389221556886227,30.604790419161677,0.1016341948858355,19.756320311132647,20.02621791613048,2.123883898551971,140.43198562570612,103.9831934313854,318.4533478669749
5.5,9,51,10020,93693,93693,0,0.0,71,0.0007577940721291879,0.9992422059278708,21.15568862275449,0.0,27.407185628742514,30.62874251497006,0.07886359160604191,19.75282867258777,21.14664000116886,2.1214233948231405,140.341637783441,106.85275914854466,318.3449304562549
6.0,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,24.389221556886227,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,24.3439644409009,2.121297868353464,140.49830734069786,115.1652033514614,318.53293392496266
6.5,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,29.508982035928145,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,29.43397375809333,2.121297868353464,140.75280780656146,128.3992275761646,318.8383344839945
7.0,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,34.68263473053892,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,34.591607785423115,2.121297868353464,141.0106895079273,141.80907604722196,319.14779252563534
7.5,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,38.09580838323353,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,37.99887633445793,2.121297868353464,141.18105293538238,150.66797427470803,319.3522286385746
8.0,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,40.89221556886228,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,40.78956493731268,2.121297868353464,141.32058736552312,157.9237646421308,319.5196699547481
8.5,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,44.365269461077844,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,44.25067815038992,2.121297868353464,141.49364302617752,166.9226589961329,319.7273367475264
9.0,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,46.97604790419162,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,46.857932689125974,2.121297868353464,141.62400575311128,173.70152079684453,319.8837720198484
9.5,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,49.25149700598802,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,49.13169810582568,2.121297868353464,141.73769402395084,179.6133108802606,320.02019794486034
10.0,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,49.25149700598802,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,49.13169810582568,2.121297868353464,141.73769402395084,179.6133108802606,320.02019794486034
10.5,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,49.25149700598802,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,49.13169810582568,2.121297868353464,141.73769402395084,179.6133108802606,320.02019794486034
11.0,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,49.25149700598802,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,49.13169810582568,2.121297868353464,141.73769402395084,179.6133108802606,320.02019794486034
11.5,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,49.25149700598802,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,49.13169810582568,2.121297868353464,141.73769402395084,179.6133108802606,320.02019794486034
12.0,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,49.25149700598802,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,49.13169810582568,2.121297868353464,141.73769402395084,179.6133108802606,320.02019794486034
12.5,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,49.25149700598802,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,49.13169810582568,2.121297868353464,141.73769402395084,179.6133108802606,320.02019794486034
13.0,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,49.25149700598802,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,49.13169810582568,2.121297868353464,141.73769402395084,179.6133108802606,320.02019794486034
13.5,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,49.25149700598802,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,49.13169810582568,2.121297868353464,141.73769402395084,179.6133108802606,320.02019794486034
14.0,9,51,10020,93694,93694,0,0.0,69,0.0007364399001003266,0.9992635600998997,49.25149700598802,0.0,27.407185628742514,30.62874251497006,0.07764011550561105,19.753305049886368,49.13169810582568,2.121297868353464,141.73769402395084,179.6133108802606,320.02019794486034
