timeout,repetition,seed,sim_time,generated,accepted,blocked,blocking_prob,cold_start,cold_start_ratio,reuse_ratio,mean_warm_pool,mean_redundant,p95_active,p99_active,mean_cold_starting,mean_processing,mean_idle,mean_latency,mean_cpu,mean_ram,mean_power
0.0,1,43,10020,93866,93866,0,0.0,93866,1.0,0.0,0.0,0.0,27.41317365269461,30.437125748502993,93.86148222530021,19.774692050750176,0.0,12.133643862467817,641.1750150221668,193.54053133383312,1054.8945035175182
0.5,1,43,10020,93600,93600,0,0.0,16302,0.17416666666666666,0.8258333333333333,2.6107784431137726,0.0,26.311377245508982,28.724550898203592,16.03073927016914,19.73232897919843,2.7258586568269183,3.828829343638795,224.61902075202894,82.9923507313206,391.0341225962281
1.0,1,43,10020,93562,93562,0,0.0,8067,0.086220901648105,0.913779098351895,5.2395209580838324,0.0,26.17365269461078,28.592814371257486,8.078971024635953,19.71295543172117,5.0226231299468065,2.9771467307295967,182.05570282330854,76.90600961622806,324.8790009602071
1.5,1,43,10020,93728,93728,0,0.0,4202,0.044831853875042675,0.9551681461249574,7.07185628742515,0.0,26.389221556886227,28.5748502994012,4.209605190561849,19.756570070222445,7.085233083206408,2.5627359188759113,161.76433701733154,76.5403234380955,292.9504554113955
2.0,1,43,10020,93699,93699,0,0.0,2039,0.02176117141058069,0.9782388285894194,9.305389221556887,0.0,26.62874251497006,28.952095808383234,2.1315570864079816,19.74715606836077,8.975091510637522,2.339670707621607,150.67509214839842,78.2914380272502,272.333085754749
2.5,1,43,10020,93582,93582,0,0.0,992,0.010600329123121968,0.9893996708768781,10.838323353293413,0.0,26.868263473053894,29.269461077844312,1.0111585937526562,19.72520370527426,10.845356299373801,2.2207636448884984,144.62014833962672,81.40480956276063,273.04659165222927
3.0,1,43,10020,93511,93511,0,0.0,433,0.004630471281453519,0.9953695287185464,12.580838323353293,0.0,27.08383233532934,29.688622754491018,0.4308421660906593,19.706436168164043,12.3833629772167,2.158307331439822,141.46041999964115,84.47817817215362,275.18460643926784
3.5,1,43,10020,93506,93506,0,0.0,200,0.002138900177528715,0.9978610998224713,14.209580838323353,0.0,27.197604790419163,30.0,0.1845514100144036,19.70578259273416,14.238079304258774,2.131876277328067,140.23090563571412,88.92682921316025,286.46020057121535
4.0,1,43,10020,93491,93491,0,0.0,112,0.0011979762757912526,0.9988020237242088,15.946107784431138,0.0,27.25748502994012,30.143712574850298,0.09373037585815087,19.702962409385766,16.026681693354668,2.1221336639488984,139.8146173334926,93.43266678286061,317.7268113716586
4.5,1,43,10020,93530,93530,0,0.0,86,0.0009194910723831926,0.9990805089276168,17.81437125748503,0.0,27.317365269461078,30.239520958083833,0.0809073930729918,19.711206344541388,17.472079176983744,2.1207943345850433,139.87623911391526,97.19293664639737,317.8007575081634
5.0,1,43,10020,93527,93527,0,0.0,74,0.0007912153709623958,0.9992087846290376,20.25748502994012,0.0,27.305389221556887,30.269461077844312,0.062350973033270904,19.71005582010128,19.806523047981322,2.118795514381753,139.88559627343852,103.23145614270055,317.8119860995938
5.5,1,43,10020,93517,93517,0,0.0,66,0.000705754034025899,0.999294245965974,20.40119760479042,0.0,27.311377245508982,30.275449101796408,0.053027954582593975,19.70853144671519,20.3673223134476,2.117787802995389,139.8530417430971,104.67146261677809,317.7729206631814
6.0,1,43,10020,93517,93517,0,0.0,66,0.000705754034025899,0.999294245965974,24.778443113772454,0.0,27.311377245508982,30.275449101796408,0.053027954582593975,19.70853144671519,24.726485711292856,2.117787802995389,140.07099991299012,116.00528745117747,318.0344704670534
6.5,1,43,10020,93517,93517,0,0.0,66,0.000705754034025899,0.999294245965974,27.790419161676645,0.0,27.311377245508982,30.275449101796408,0.053027954582593975,19.70853144671519,27.70975392766699,2.117787802995389,140.2201633238102,123.76178481375379,318.2134665600387
7.0,1,43,10020,93517,93517,0,0.0,66,0.000705754034025899,0.999294245965974,31.724550898203592,0.0,27.311377245508982,30.275449101796408,0.053027954582593975,19.70853144671519,31.644229549020242,2.117787802995389,140.41688710487693,133.99142142927445,318.44953509731636
7.5,1,43,10020,93517,93517,0,0.0,66,0.000705754034025899,0.999294245965974,35.30538922155689,0.0,27.311377245508982,30.275449101796408,0.053027954582593975,19.70853144671519,35.2314590267134,2.117787802995389,140.59624857876065,143.3182180712666,318.66476886597206
8.0,1,43,10020,93517,93517,0,0.0,66,0.000705754034025899,0.999294245965974,40.041916167664674,0.0,27.311377245508982,30.275449101796408,0.053027954582593975,19.70853144671519,39.95915344513548,2.117787802995389,140.83263329968094,155.6102235591677,318.9484305310822
8.5,1,43,10020,93517,93517,0,0.0,66,0.000705754034025899,0.999294245965974,43.19760479041916,0.0,27.311377245508982,30.275449101796408,0.053027954582593975,19.70853144671519,43.11157922216027,2.117787802995389,140.9902545885309,163.80653057943056,319.1375760777007
9.0,1,43,10020,93517,93517,0,0.0,66,0.000705754034025899,0.999294245965974,45.778443113772454,0.0,27.311377245508982,30.275449101796408,0.053027954582593975,19.70853144671519,45.67562724767186,2.117787802995389,141.11845698980892,170.4730554457616,319.2914189592279
9.5,1,43,10020,93517,93517,0,0.0,66,0.000705754034025899,0.999294245965974,46.31736526946108,0.0,27.311377245508982,30.275449101796408,0.053027954582593975,19.70853144671519,46.21072622845783,2.117787802995389,141.14521193884693,171.86431279580677,319.3235248980847
10.0,1,43,10020,93517,93517,0,0.0,66,0.000705754034025899,0.999294245965974,46.31736526946108,0.0,27.311377245508982,30.275449101796408,0.053027954582593975,19.70853144671519,46.21072622845783,2.117787802995389,141.14521193884693,171.86431279580677,319.3235248980847
