timeout,repetition,seed,sim_time,generated,accepted,blocked,blocking_prob,cold_start,cold_start_ratio,reuse_ratio,mean_warm_pool,mean_redundant,p95_active,p99_active,mean_cold_starting,mean_processing,mean_idle,mean_latency,mean_cpu,mean_ram,mean_power
0.0,5,47,10020,93818,93818,0,0.0,93818,1.0,0.0,0.0,0.0,27.24550898203593,30.32934131736527,93.43735299532753,19.757704466070372,0.0,12.09504690613567,638.7865009215027,192.85558872470762,1050.3970523629835
0.5,5,47,10020,94924,94924,0,0.0,15961,0.1681450423496692,0.8318549576503308,2.6646706586826348,0.0,26.550898203592816,29.143712574850298,16.13146808330951,20.01643221818663,2.754344957440426,3.8159464176794464,227.15658998744317,83.96286610690349,395.21970806360775
1.0,5,47,10020,94820,94820,0,0.0,7894,0.08325247838008859,0.9167475216199115,4.952095808383233,0.0,26.491017964071855,28.84431137724551,7.887019310878682,19.995557233289578,5.0694557436713685,2.946730072255631,183.01779345042058,77.47834404424599,328.51346357419436
1.5,5,47,10020,94475,94475,0,0.0,4144,0.04386345594072506,0.956136544059275,6.982035928143713,0.0,26.48502994011976,28.838323353293415,4.1005912053594304,19.922722196629007,7.172820801070501,2.547881386568922,162.35354103103379,77.03875895806874,292.8790809425915
2.0,5,47,10020,94414,94414,0,0.0,2137,0.022634355074459295,0.9773656449255407,8.982035928143713,0.0,26.718562874251496,29.12574850299401,2.131397769435238,19.91181112075536,9.06380516557553,2.3399634213074467,151.83620050367702,78.9532491987359,275.4552143038981
2.5,5,47,10020,94457,94457,0,0.0,997,0.010555067385159385,0.9894449326148406,11.095808383233534,0.0,27.089820359281436,29.41317365269461,0.9914188360277968,19.923373515142092,10.8648656000422,2.219176385182921,145.90864986420524,81.94493161218908,271.6069173478705
3.0,5,47,10020,94486,94486,0,0.0,480,0.0050801176893931375,0.9949198823106069,13.065868263473053,0.0,27.209580838323355,29.91616766467066,0.4699541358387203,19.929124141640532,12.765601770658535,2.1637157193429664,143.25427743100707,86.11450059992943,265.6392698540884
3.5,5,47,10020,94400,94400,0,0.0,212,0.002245762711864407,0.9977542372881356,14.580838323353293,0.0,27.35928143712575,30.221556886227546,0.22702574667946374,19.911952334410955,14.405684984565726,2.138006617232283,141.9158969048743,89.96690495351528,264.232345315338
4.0,5,47,10020,94391,94391,0,0.0,115,0.0012183364939453974,0.9987816635060546,16.353293413173652,0.0,27.431137724550897,30.437125748502993,0.12014732819890782,19.909571207242436,16.463213836435024,2.1266420776012875,141.4302344846055,95.14885500328823,276.6612354500796
4.5,5,47,10020,94419,94419,0,0.0,71,0.0007519672947182241,0.9992480327052817,17.97005988023952,0.0,27.48502994011976,30.49700598802395,0.05994947292155295,19.91563774321763,17.852563156729925,2.1203310073643826,141.2202911727899,98.68615879884395,289.4226449285854
5.0,5,47,10020,94414,94414,0,0.0,52,0.000550765776261995,0.999449234223738,18.820359281437124,0.0,27.491017964071855,30.550898203592816,0.04296121903332057,19.9150369760464,19.024095429403776,2.1185192651653635,141.18375723490547,101.70491643443341,289.3788042031236
5.5,5,47,10020,94413,94413,0,0.0,51,0.0005401798481141369,0.9994598201518858,22.67065868263473,0.0,27.491017964071855,30.55688622754491,0.04255185665168428,19.914983961686456,22.866271820482535,2.1184807665815755,141.3733032747684,111.69381801641906,289.60625945096797
