lambda,theta,repetition,profile_name,profile_color,profile_marker,profile_line,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request,power_usage_per_request,,,,,
4,3.743636364,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,5.95E-05,5.135778295,82.87472822,53.28747282,137.9640793,,,,,
4,3.844545455,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,6.14E-05,5.145845954,82.94868247,53.29486825,137.9709095,,,,,
4,3.945454545,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,6.34E-05,5.155656395,83.02110547,53.30211055,137.9776026,,,,,
4,4.046363636,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,6.53E-05,5.165220574,83.09204245,53.30920424,137.9841625,,,,,
4,4.147272727,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,6.73E-05,5.174548762,83.1615372,53.31615372,137.9905933,,,,,
4,4.248181818,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,6.92E-05,5.183650598,83.22963208,53.32296321,137.9968985,,,,,
4,4.349090909,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,7.12E-05,5.192535148,83.29636806,53.32963681,138.0030818,,,,,
4,4.45,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,7.32E-05,5.201210946,83.36178468,53.33617847,138.0091468,,,,,
4,4.550909091,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,7.52E-05,5.209686036,83.42592013,53.34259201,138.0150969,,,,,
4,4.651818182,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,7.71E-05,5.217968015,83.48881129,53.34888113,138.0209352,,,,,
4,4.752727273,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,7.91E-05,5.226064057,83.55049373,53.35504937,138.0266651,,,,,
4,4.853636364,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,8.11E-05,5.233980955,83.61100177,53.36110018,138.0322894,,,,,
4,4.954545455,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,8.31E-05,5.24172514,83.67036852,53.36703685,138.0378112,,,,,
4,5.055454545,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,8.51E-05,5.249302712,83.72862592,53.37286259,138.0432333,,,,,
4,5.156363636,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,8.71E-05,5.256719459,83.78580479,53.37858048,138.0485584,,,,,
4,5.257272727,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,8.90E-05,5.263980882,83.84193485,53.38419349,138.0537891,,,,,
4,5.358181818,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,9.10E-05,5.271092209,83.89704479,53.38970448,138.0589281,,,,,
4,5.459090909,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,9.30E-05,5.27805842,83.95116227,53.39511623,138.0639777,,,,,
4,5.56,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,9.50E-05,5.284884256,84.00431401,53.4004314,138.0689404,,,,,
4,5.660909091,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,9.70E-05,5.291574237,84.05652578,53.40565258,138.0738183,,,,,
4,5.761818182,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,9.90E-05,5.298132677,84.10782247,53.41078225,138.0786138,,,,,
4,5.862727273,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000100973,5.304563695,84.1582281,53.41582281,138.083329,,,,,
4,5.963636364,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000102955,5.310871226,84.20776587,53.42077659,138.0879659,,,,,
4,6.064545455,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000104936,5.317059032,84.25645821,53.42564582,138.0925265,,,,,
4,6.165454545,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000106914,5.323130716,84.30432676,53.43043268,138.0970127,,,,,
4,6.266363636,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000108889,5.329089724,84.35139245,53.43513925,138.1014264,,,,,
4,6.367272727,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000110862,5.33493936,84.39767551,53.43976755,138.1057694,,,,,
4,6.468181818,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000112831,5.340682791,84.44319549,53.44431955,138.1100435,,,,,
4,6.569090909,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000114796,5.346323053,84.4879713,53.44879713,138.1142502,,,,,
4,6.67,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000116758,5.351863064,84.53202124,53.45320212,138.1183913,,,,,
4,6.770909091,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000118716,5.357305621,84.57536299,53.4575363,138.1224683,,,,,
4,6.871818182,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000120669,5.362653416,84.61801369,53.46180137,138.1264828,,,,,
4,6.972727273,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000122619,5.367909034,84.65998991,53.46599899,138.1304361,,,,,
4,7.073636364,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000124563,5.373074963,84.7013077,53.47013077,138.1343298,,,,,
4,7.174545455,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000126503,5.378153597,84.7419826,53.47419826,138.1381652,,,,,
4,7.275454545,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000128439,5.38314724,84.78202967,53.47820297,138.1419436,,,,,
4,7.376363636,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000130369,5.388058111,84.82146349,53.48214635,138.1456664,,,,,
4,7.477272727,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000132294,5.392888349,84.86029819,53.48602982,138.1493348,,,,,
4,7.578181818,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000134213,5.397640017,84.89854749,53.48985475,138.1529501,,,,,
4,7.679090909,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000136127,5.402315102,84.93622467,53.49362247,138.1565133,,,,,
4,7.78,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000138035,5.406915525,84.9733426,53.49733426,138.1600257,,,,,
4,7.880909091,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000139938,5.411443135,85.00991379,53.50099138,138.1634884,,,,,
4,7.981818182,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000141835,5.415899723,85.04595036,53.50459504,138.1669025,,,,,
4,8.082727273,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000143725,5.420287015,85.08146407,53.50814641,138.1702689,,,,,
4,8.183636364,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.00014561,5.424606681,85.11646636,53.51164664,138.1735888,,,,,
4,8.284545455,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000147488,5.428860334,85.1509683,53.51509683,138.176863,,,,,
4,8.385454545,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.00014936,5.433049536,85.18498066,53.51849807,138.1800927,,,,,
4,8.486363636,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000151226,5.437175795,85.21851391,53.52185139,138.1832786,,,,,
4,8.587272727,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000153085,5.441240573,85.2515782,53.52515782,138.1864218,,,,,
4,8.688181818,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000154937,5.445245283,85.2841834,53.52841834,138.189523,,,,,
4,8.789090909,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000156783,5.449191295,85.31633912,53.53163391,138.1925832,,,,,
4,8.89,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000158622,5.453079936,85.34805467,53.53480547,138.1956032,,,,,
4,8.990909091,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000160455,5.45691249,85.37933913,53.53793391,138.1985838,,,,,
4,9.091818182,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.00016228,5.460690203,85.41020131,53.54102013,138.2015257,,,,,
4,9.192727273,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000164099,5.464414283,85.44064981,53.54406498,138.2044298,,,,,
4,9.293636364,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.00016591,5.4680859,85.47069295,53.54706929,138.2072968,,,,,
4,9.394545455,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000167715,5.471706191,85.50033886,53.55003389,138.2101274,,,,,
4,9.495454545,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000169512,5.475276257,85.52959545,53.55295955,138.2129223,,,,,
4,9.596363636,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000171303,5.478797169,85.55847041,53.55584704,138.2156822,,,,,
4,9.697272727,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000173086,5.482269966,85.58697123,53.55869712,138.2184078,,,,,
4,9.798181818,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000174862,5.485695655,85.6151052,53.56151052,138.2210998,,,,,
4,9.899090909,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000176631,5.489075217,85.64287943,53.56428794,138.2237587,,,,,
4,10,1,λ = 4,#0eff7a,x,-,0.25,0.5,40,10,1,17.5,13,0.000178392,5.492409603,85.67030083,53.56703008,138.2263852,,,,,
8,0.01,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.028415834,4.01979565,80.09578134,53.00957813,124.9021386,,,,,
8,0.110909091,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.036706498,4.131072759,77.21974543,52.72197454,125.3076676,,,,,
8,0.211818182,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.041723558,4.198327888,76.66483846,52.66648385,117.8387997,,,,,
8,0.312727273,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.045696279,4.250031878,76.49792149,52.64979215,118.1170112,,,,,
8,0.413636364,1,λ = 8,#0eff7a,o,-.,0.25,0.5,40,10,1,17.5,13,0.049098978,4.293078927,76.47350158,52.64735016,118.3679211,,,,,
