lambda,theta,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
2.0,0.01,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.141201563072078,67.25883749826701,53.250302153680046
2.0,0.02,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.216227298545444,64.9131324132325,53.488883449137994
2.0,0.03,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.2835965776054454,62.41042648980585,52.92677470391097
2.0,0.04,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.302464330736908,61.929064750978945,52.551993763276656
2.0,0.05,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.439982902328381,62.57176236208889,53.78699071652112
2.0,0.060000000000000005,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.3937009590081932,59.89907788733687,51.694087613787225
2.0,0.06999999999999999,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.4030960140823465,59.193574207059896,51.61453812411217
2.0,0.08,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.431152681414028,58.23482933043011,50.48659032646737
2.0,0.09,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.5552606376632694,60.29121758385242,52.82157091023748
2.0,0.09999999999999999,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.5500166267732283,59.711940582171586,52.59084534208862
2.0,0.11,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.577433719394193,58.229032460595036,51.35938307953938
2.0,0.12,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.588893583500986,58.272901999795124,51.1704225157801
2.0,0.13,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.6204748763266954,58.23163834237696,51.047623546777494
2.0,0.14,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.6816806298269946,57.670397746896754,50.49119890869309
2.0,0.15000000000000002,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.710119105058224,58.42617705064269,52.17712230291352
2.0,0.16,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.676474837241874,59.22513558352424,53.05657543062052
2.0,0.17,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.763710333527401,59.2872490472261,52.970867378926556
2.0,0.18000000000000002,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.7538067680627005,58.33198669368244,51.57593074582516
2.0,0.19,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.800985480742304,59.019194254632716,52.37524860949908
2.0,0.2,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.8326172736822675,58.10836014288084,51.53274851293448
2.0,0.21000000000000002,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.8743340678756675,59.26931798617091,52.11309718053494
2.0,0.22,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.8373652099957924,57.77312474746847,50.68140484907557
2.0,0.23,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.87803607749657,58.64594527672372,51.94931475969022
2.0,0.24000000000000002,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.9121649969279932,58.96710422470064,52.476461824579616
