lambda,theta,repetition,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
5.0,0.01,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,7.453518884720891e-10,2.0609313383638126,55.8421479745919,51.58421479745914
5.0,0.02,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.7298734388548408e-09,2.1056610871790538,54.26424676917265,51.42642467691723
5.0,0.03,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.963397117699595e-09,2.1439244409772935,53.432947824547405,51.34329478245473
5.0,0.04,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,4.436845583098736e-09,2.178014714526389,52.90606680316314,51.290606680316316
5.0,0.05,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,6.147546147875367e-09,2.2090560192768685,52.543361156612114,51.25433611566123
5.0,0.060000000000000005,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,8.096196387809852e-09,2.237720720120996,52.282237206251594,51.228223720625124
5.0,0.06999999999999999,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.0285483058957316e-08,2.264455975230028,52.08941601051552,51.208941601051585
5.0,0.08,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.2719373877781384e-08,2.2895798598712025,51.94516921968705,51.19451692196871
5.0,0.09,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.5402717756007963e-08,2.3133294957979507,51.83689206347841,51.1836892063477
5.0,0.09999999999999999,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.8341001924554335e-08,2.3358879111694777,51.756076890931716,51.17560768909319
5.0,0.11,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.154019328818212e-08,2.3574002358928188,51.69673499285593,51.169673499285544
5.0,0.12,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.5006634872215756e-08,2.3779840522294835,51.654508277075735,51.1654508277076
5.0,0.13,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.874697141518384e-08,2.3977363184229987,51.626138538518454,51.162613853851816
