lambda,theta,repetition,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
5,0.37,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.21E-07,2.735822979,52.33000668,51.23300067
5,0.38,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.34E-07,2.746559188,52.37716548,51.23771655
5,0.39,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.47E-07,2.757125063,52.42461642,51.24246164
5,0.4,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.62E-07,2.767526973,52.4723133,51.24723133
5,0.41,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.76E-07,2.777770907,52.52021461,51.25202146
5,0.42,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.91E-07,2.78786251,52.5682829,51.25682829
5,0.43,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,3.07E-07,2.797807105,52.61648445,51.26164844
5,0.44,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,3.23E-07,2.807609719,52.66478877,51.26647888
5,0.45,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,3.40E-07,2.817275107,52.71316833,51.27131683
5,0.46,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,3.57E-07,2.826807771,52.7615982,51.27615982
5,0.47,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,3.75E-07,2.836211978,52.81005583,51.28100558
5,0.48,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,3.94E-07,2.845491777,52.85852077,51.28585208
5,0.49,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,4.13E-07,2.854651013,52.90697448,51.29069745
5,0.5,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,4.32E-07,2.863693343,52.95540015,51.29554001
5,0.51,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,4.53E-07,2.872622247,53.0037825,51.30037825
