lambda,theta,repetition,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
5.0,0.01,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.058468329405352,55.83131102701407,51.07858902854041
5.0,0.01,2,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.0338024406613258,55.07514366744423,50.9369953333413
5.0,0.01,3,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.0535598001256177,56.455431491584896,51.35336104608099
5.0,0.01,4,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.053542796845202,55.54679295715427,51.03910271166229
5.0,0.01,5,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.076708068225542,56.51898536501595,51.97440680829534
5.0,0.01,6,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.0819192791691283,57.35702971321341,52.010518510527525
5.0,0.01,7,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.0860682871777403,56.17152528479314,51.97884786872246
5.0,0.01,8,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.0504759253316283,55.84539523813301,51.5079429174761
5.0,0.01,9,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.0656398052216662,56.25466298932118,51.921047340809096
5.0,0.01,10,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.0592249192098993,56.005858738857384,51.743878981750846
5.0,0.02,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1211986435818053,54.8417076145923,51.366603339916686
5.0,0.02,2,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1197930873561286,55.05730877487307,51.509137174726995
5.0,0.02,3,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1194695858086057,55.313544349765024,51.72007699592365
5.0,0.02,4,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.106131547563918,53.94631077020445,50.87147225395158
5.0,0.02,5,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.112825012827577,54.523649340114765,51.69987292435866
5.0,0.02,6,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1029922097448837,54.535647017297364,51.11933660656513
5.0,0.02,7,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1238517554847944,55.49171944653476,52.11660920410193
5.0,0.02,8,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.0976943088204374,54.40561661784354,51.10560557850271
5.0,0.02,9,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1118432491564,54.050097075705786,50.77183104501312
5.0,0.02,10,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1231084439806414,54.273421391922014,51.28542579245808
5.0,0.03,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.161429586846729,53.86873991819791,51.55591597469213
5.0,0.03,2,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.139661990774994,53.023328721051726,50.69804583527037
5.0,0.03,3,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1560097686565,53.511197591808255,51.1445568382685
5.0,0.03,4,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1295123578120028,53.557220889428436,50.92273861328668
5.0,0.03,5,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.150578719059284,53.5403844913752,51.53941464649331
5.0,0.03,6,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1446837461878183,53.43161167409066,51.06814244647653
5.0,0.03,7,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.138526356008883,53.78606189894482,51.51881559408794
5.0,0.03,8,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.161584380842015,54.50221467938919,51.82772400334657
5.0,0.03,9,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.132449562554269,53.59499828381947,51.02182783480405
5.0,0.03,10,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.138426404669117,53.997155839691494,51.28949092687155
5.0,0.04,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1631306817563796,52.68595822302135,50.972477678165326
5.0,0.04,2,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.2111190906204787,53.42624878021307,51.54102177167583
5.0,0.04,3,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.177172844642706,53.54517894892486,51.565889536289035
5.0,0.04,4,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1985967565230418,53.63240097287784,51.45438518045107
5.0,0.04,5,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1529073632840747,52.58053568153839,50.45146730770315
5.0,0.04,6,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1941358461467346,53.51291203491784,51.370879701778016
5.0,0.04,7,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.176166358401829,52.84583741569894,51.29248008043787
5.0,0.04,8,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1721036065862673,53.228671501784355,51.31379077625428
5.0,0.04,9,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.190775212113697,53.15724918690093,51.14447004525522
5.0,0.04,10,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.189308198008444,53.42963817252247,51.283875892028234
5.0,0.05,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.2417452111137677,52.90887624482788,51.28174639630771
5.0,0.05,2,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.2137107318420655,53.2977788505443,51.871572310135335
5.0,0.05,3,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.2558202948782546,53.176044247999926,51.46503565821141
5.0,0.05,4,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.211947732266638,52.900287322202324,51.506112837743004
5.0,0.05,5,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.208462551828049,52.59995594435944,51.142684987703674
5.0,0.05,6,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.234828483939907,53.436993479916076,52.2056304710938
5.0,0.05,7,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.1926853668684134,52.67216374149077,51.38910567769507
5.0,0.05,8,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.2118913553011827,52.45338711157103,50.35220220585909
5.0,0.05,9,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.23071586251884,52.9853454367984,51.40912832980339
5.0,0.05,10,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.197941861320697,52.89657487395759,51.23980161852576
