lambda,theta,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
5,0.01,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.058456429,55.72633839,51.1988459
5,0.02,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.094397786,53.20837864,50.28310615
5,0.03,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.159773483,54.01312511,51.72075196
5,0.04,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.170694274,52.97173128,51.00844107
5,0.05,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.233102802,52.93767882,51.51543478
5,0.06,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.245038025,52.85473234,51.51742292
5,0.07,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.253936258,52.59889234,51.70416525
5,0.08,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.270740236,51.53771895,50.67714539
5,0.09,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.357714509,52.55456409,51.4478551
5,0.1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.30734297,51.50575161,50.68970803
5,0.11,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.392732602,52.13412533,51.22974372
5,0.12,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.35002933,52.0177384,51.40673467
5,0.13,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.373206657,51.31210347,50.41009914
5,0.14,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.443273794,52.40394812,51.64369732
5,0.15,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.414604464,51.49420402,50.6363409
5,0.16,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.457776255,51.39139131,50.67653712
5,0.17,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.469631506,51.24894275,50.39676947
5,0.18,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.487363035,51.83367153,51.22262742
5,0.19,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.489787657,51.39677335,50.46798656
5,0.2,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.539132305,51.53344541,50.63740676
5,0.21,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0,2.537910268,51.43560226,50.59835463
