lambda,theta,repetition,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
10.0,0.01,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.00013065242805969062,2.0420917782246564,50.94386233841012,51.094386233841014
10.0,0.02,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0002038071340281173,2.0732888396121254,49.89399334763695,50.989399334763704
10.0,0.03,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0002744204161983283,2.1000712371709866,49.33998213595858,50.93399821359589
10.0,0.04,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.00034485428342920623,2.123994362769782,48.98959130080931,50.89895913008092
10.0,0.05,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.00041593914115595226,2.1458239924318128,48.749439545908736,50.87494395459088
10.0,0.060000000000000005,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0004880600647497512,2.1660192924581945,48.57766344367316,50.85776634436736
10.0,0.06999999999999999,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0005614208687724243,2.18488612146527,48.45193698126922,50.84519369812693
10.0,0.08,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0006361371392773046,2.2026422963271046,48.35899472349301,50.83589947234933
10.0,0.09,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0007122763930330157,2.219450345871681,48.290346399596906,50.8290346399597
10.0,0.09999999999999999,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0007898778511493952,2.2354358194711526,48.24025368149032,50.82402536814904
10.0,0.11,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0008689631219896609,2.250698339190325,48.204672918956085,50.82046729189565
10.0,0.12,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0009495423850438387,2.2653186694657212,48.18065897519308,50.818065897519325
10.0,0.13,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0010316181661680066,2.279363449256147,48.16600851671811,50.81660085167185
10.0,0.14,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0011151877416240006,2.2928884775829648,48.15903616123966,50.815903616123954
10.0,0.15000000000000002,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0012002447220417199,2.3059410645794856,48.15842838878633,50.8158428388786
10.0,0.16,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0012867801256894662,2.3185617570407677,48.163145024169566,50.81631450241706
10.0,0.17,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0013747831228049397,2.330785632569642,48.1723509223088,50.81723509223088
10.0,0.18000000000000002,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0014642415619828984,2.342643288468052,48.185367446736905,50.818536744673615
10.0,0.19,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0015551423485702443,2.3541616097920195,48.20163727939419,50.82016372793941
10.0,0.2,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0016474717204707924,2.365364374514478,48.22069842657578,50.82206984265757
10.0,0.21000000000000002,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0017412154515361988,2.3762727364621448,48.24216470345647,50.82421647034568
10.0,0.22,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0018363590030028739,2.3869056151329078,48.26571086874848,50.82657108687481
10.0,0.23,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0019328876371614348,2.397280013595278,48.29106115329276,50.829106115329296
10.0,0.24000000000000002,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.002030786503206331,2.407411280157116,48.31798030320779,50.83179803032079
10.0,0.25,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0021300407023989026,2.4173133255773225,48.34626651154645,50.83462665115459
10.0,0.26,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0022306353376763195,2.4269988047705664,48.37574578588419,50.83757457858844
10.0,0.27,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.002332555551487712,2.4364792698894404,48.40626742009293,50.84062674200928
10.0,0.28,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0024357865546375773,2.445765300136449,48.43770032401133,50.84377003240113
10.0,0.29000000000000004,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.002540313648226336,2.454866612508272,48.469930026016115,50.8469930026016
10.0,0.3,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0026461222402655287,2.463792156802355,48.502856208043156,50.85028562080431
10.0,0.31,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0027531978581449724,2.4725501975463486,48.53639066535339,50.853639066535365
10.0,0.32,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0028615261578886515,2.481148384993352,48.57045560769403,50.85704556076946
10.0,0.33,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0029710929308834396,2.489593816920899,48.60498223679156,50.860498223679116
10.0,0.34,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.003081884108648179,2.4978930926534852,48.639909548986964,50.86399095489866
10.0,0.35000000000000003,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.003193885766043007,2.506052360475068,48.675183322429746,50.86751833224297
10.0,0.36000000000000004,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0033070841232727046,2.5140773593965173,48.71075525644102,50.87107552564409
10.0,0.37,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.003421465546942325,2.521973456079983,48.74658223701595,50.87465822370161
10.0,0.38,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0035370165503576154,2.5297456775904754,48.782625707421026,50.878262570742066
10.0,0.39,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0036537237932555604,2.537398740538005,48.818851126777496,50.881885112677786
10.0,0.4,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.003771574081072598,2.544937077085261,48.85522750263549,50.885522750263576
10.0,0.41000000000000003,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.003890554363878123,2.552364858223984,48.89172698604462,50.88917269860448
10.0,0.42000000000000004,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.004010651735022525,2.559686014662603,48.92832451961772,50.89283245196175
10.0,0.43,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.004131853429604206,2.566904255618582,48.96499753071249,50.89649975307121
10.0,0.44,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.004254146822777219,2.574023085766653,49.00172566315888,50.900172566315874
10.0,0.45,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.004377519427950184,2.581045820559484,49.03849054203641,50.90384905420364
10.0,0.46,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0045019588949212225,2.5879756001079364,49.075275566883334,50.907527556688315
10.0,0.47000000000000003,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.004627453007955772,2.5948154017828498,49.112065729439394,50.91120657294388
10.0,0.48000000000000004,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.004753989683849773,2.6015680516794975,49.1488474526257,50.91488474526261
10.0,0.49,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.004881556969969034,2.6082362350674297,49.18560844795711,50.91856084479571
10.0,0.5,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.005010143042304387,2.6148225059335264,49.222337589002905,50.92223375890033
10.0,0.51,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.005139736203534472,2.6213292957122634,49.259024798849424,50.925902479884925
10.0,0.52,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.005270324881113196,2.6277589212863606,49.29566094981727,50.929566094981766
10.0,0.53,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.005401897625381137,2.6341135923307006,49.33223777392352,50.93322377739239
10.0,0.54,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.005534443107710433,2.6403954180642963,49.36874778279248,50.93687477827921
10.0,0.55,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.005667950118691384,2.646606413467477,49.405184195890584,50.9405184195891
