lambda,theta,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
0.5,0.01,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.2811778849793485,100.77806736927863,59.298706024222916
0.5,0.11183673469387755,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.074322879003096,76.00163839728677,53.11637933717121
0.5,0.2136734693877551,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.6720672440692335,75.4156021098464,54.402692619354454
0.5,0.31551020408163266,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.033832990711766,79.34089732367208,57.6848908891353
0.5,0.4173469387755102,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.9226124126241575,72.79556719661869,52.64616572726824
0.5,0.5191836734693878,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.33997723625172,73.39844353686637,52.546926167733616
0.5,0.6210204081632653,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.402377826439118,74.25595936802424,53.633367398420965
0.5,0.7228571428571429,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.5050004039526685,73.56108536391704,53.00283300026298
0.5,0.8246938775510204,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.802821865938759,77.78403668013094,54.20173459990456
0.5,0.926530612244898,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.655968923741022,75.19436411142217,53.45347809881415
0.5,1.0283673469387755,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.888135158289878,77.84903828785636,54.701093505580374
0.5,1.130204081632653,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.972117477204654,76.55048594901562,54.52727137627279
0.5,1.2320408163265306,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.96110908822339,74.04159812471464,51.211067666854795
0.5,1.3338775510204082,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.900629712749616,76.34978423961147,53.96677376853086
0.5,1.4357142857142857,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.086064115625267,75.67578731611333,53.39228055127624
0.5,1.5375510204081633,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.18824446759115,76.21848801274615,54.097887245496665
0.5,1.6393877551020408,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.144856700054129,74.21113615311226,51.051817194573175
0.5,1.7412244897959184,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.252759189492953,77.12299058377153,54.610915742363524
0.5,1.843061224489796,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.246315928320637,78.69903701319872,56.20780289988703
0.5,1.9448979591836735,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.2228534458818965,78.17612288431305,54.325268133983876
0.5,2.046734693877551,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.328453225094574,76.62901015060058,53.47335196521951
0.5,2.1485714285714286,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.168749009997072,73.21388597155615,52.54356111985594
0.5,2.250408163265306,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.572507518021719,80.38463505959994,55.37740404804239
0.5,2.3522448979591832,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.345073097658683,76.97987463767758,53.3197926236919
0.5,2.454081632653061,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.4375383869064065,78.87296699945999,54.32117308708292
0.5,2.555918367346939,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.417402761380986,76.20503379944289,52.30855411650956
0.5,2.657755102040816,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.60385924520268,77.32388061079584,53.61453408077477
0.5,2.7595918367346934,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.488112211568202,77.4230664254345,53.893623098823824
0.5,2.861428571428571,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.277322396952559,75.72659771055709,52.99122265537691
0.5,2.963265306122449,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.500515089258297,77.73573047023937,53.903555240031544
0.5,3.0651020408163263,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.276377259739755,76.63526380409128,53.82550484376802
0.5,3.1669387755102036,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.414144523088725,76.85396046924325,53.28105498228923
0.5,3.2687755102040814,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,5.563556961048055,77.49293711494138,52.62520194105134
