lambda,theta,repetition,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
1.0,0.01,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.8657114288807917e-17,2.1451286702245778,77.73345425838525,53.77334542583867
1.0,0.02,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,6.30524339581135e-18,2.247983141875174,73.47772415314826,53.3477724153148
1.0,0.03,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,4.478078667507287e-18,2.334455254248597,71.21582372986904,53.12158237298692
1.0,0.04,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,3.7339917176297415e-18,2.410466685820366,69.75883472197626,52.97588347219762
1.0,0.05,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-1.498253582214776e-17,2.478887182399377,68.73323094396329,52.87332309439618
1.0,0.060000000000000005,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-6.796400861338811e-19,2.541420614535879,67.97339841768697,52.797339841768775
1.0,0.06999999999999999,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,4.216838727450543e-18,2.599194162441315,67.3917331401744,52.7391733140174
1.0,0.08,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.350488916785916e-17,2.653006365768,66.93651258792984,52.69365125879311
1.0,0.09,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-8.181478832696287e-18,2.7034505751001676,66.5747995037843,52.65747995037835
1.0,0.09999999999999999,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,4.534041975383176e-18,2.750983518705305,66.28442315468571,52.628442315468654
1.0,0.11,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,6.879997605263737e-18,2.7959664859143896,66.04981226628905,52.60498122662896
1.0,0.12,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,2.0756859160336726e-18,2.838691564450918,65.85965657057,52.58596565705698
1.0,0.13,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-8.078572832211304e-18,2.879399144301399,65.7055134488102,52.570551344880926
1.0,0.14,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,5.6130860908938536e-18,2.918290036674378,65.5809367359291,52.55809367359288
1.0,0.15000000000000002,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-1.2231921814561295e-17,2.9555341250881075,65.48091000234957,52.54809100023484
1.0,0.16,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.6782084039436152e-18,2.991276701315862,65.40146547121897,52.540146547121886
1.0,0.17,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-1.2909646357270157e-17,3.0256432081961036,65.33942043778612,52.53394204377852
1.0,0.18000000000000002,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-5.161130592147525e-18,3.0587428574001865,65.29219048233782,52.52921904823372
1.0,0.19,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-8.397195403598982e-18,3.0906714347300723,65.25765427795959,52.5257654277958
1.0,0.2,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-7.304107461849646e-18,3.121513507087089,65.23405390945952,52.52340539094589
1.0,0.21000000000000002,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-1.0365114495904222e-17,3.1513441811449567,65.21992015841337,52.52199201584126
1.0,0.22,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-5.511322288841063e-18,3.180230520950908,65.2140156748603,52.52140156748605
1.0,0.23,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-8.113882507399994e-18,3.2082327024472868,65.2152911815086,52.52152911815077
1.0,0.24000000000000002,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-1.756939796906956e-18,3.235404962549636,65.22285131872174,52.52228513187216
1.0,0.25,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-2.7772442906144364e-18,3.261796385984661,65.23592771969322,52.52359277196931
1.0,0.26,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-1.2264888560214202e-17,3.2874515626959195,65.25385757595842,52.52538575759578
1.0,0.27,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.128394283500119e-18,3.312411141024889,65.27606641973861,52.52760664197383
1.0,0.28,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,3.900069420710889e-18,3.3367122962462337,65.30205417894656,52.53020541789463
1.0,0.29000000000000004,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.634744847177602e-18,3.360389129815513,65.33138379656472,52.53313837965649
1.0,0.3,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-2.7290620147567114e-18,3.3834730114866955,65.36367187725608,52.53636718772561
1.0,0.31,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,6.556021676988626e-18,3.405992874005467,65.39858094977617,52.53985809497763
1.0,0.32,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,5.437899038909196e-18,3.4279754681875323,65.43581302709042,52.54358130270908
1.0,0.33,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.0095253606314703e-17,3.4494455847115257,65.47510421614197,52.54751042161428
1.0,0.34,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-8.977134320179611e-19,3.470426247791307,65.51622018226092,52.551622018226055
1.0,0.35000000000000003,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-1.9169587360617334e-18,3.490938884969509,65.55895231376302,52.55589523137627
1.0,0.36000000000000004,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,1.1466024642377967e-17,3.5110034765361995,65.60311446353005,52.56031144635305
1.0,0.37,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,8.605476895253018e-18,3.5306386874841107,65.64854016865267,52.56485401686535
1.0,0.38,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-1.762877172208919e-17,3.549861984431637,65.6950802682087,52.56950802682066
1.0,0.39,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,8.142092173480631e-18,3.5686897395543444,65.74260085422515,52.57426008542258
1.0,0.4,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-1.1521909052116426e-17,3.5871373232452193,65.79098150273481,52.57909815027338
1.0,0.41000000000000003,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,4.802824249806653e-18,3.605219186962421,65.84011374134629,52.5840113741346
1.0,0.42000000000000004,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-1.669247654473406e-17,3.622948937502782,65.88989971730626,52.58898997173046
1.0,0.43,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-9.245119570204793e-18,3.6403394037611623,65.940251036223,52.5940251036222
1.0,0.44,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-3.988067196983826e-18,3.6574026968821745,65.99108774656138,52.599108774656145
1.0,0.45,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-9.607510162248388e-18,3.674150264585825,66.04233744911282,52.604233744911184
1.0,0.46,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-2.0217263023539162e-17,3.690592940340834,66.09393451395633,52.60939345139552
1.0,0.47000000000000003,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-1.2679005106554572e-17,3.7067409879693747,66.14581939016912,52.614581939016794
1.0,0.48000000000000004,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-9.382500005917234e-18,3.722604142190694,66.19793799581679,52.619793799581586
1.0,0.49,1,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,-2.2362835685726992e-18,3.7381916455455673,66.25024117762692,52.62502411776267
