lambda,theta,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,blocking_ratios,latency,ram_usage_per_request,cpu_usage_per_request
0.5,0.01,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.2568646985422225,95.24098836395689,56.240405499859015
0.5,0.05061224489795919,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,2.713828181677928,81.18319901942904,53.43668490911954
0.5,0.09122448979591836,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.00392557273616,77.19290301822409,53.17971127212716
0.5,0.13183673469387755,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.2221241571458847,75.27780153673424,52.28887995138271
0.5,0.17244897959183675,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.3606218906089427,75.55540859606734,53.829915173261135
0.5,0.21306122448979592,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.5023257556803347,75.44298326553303,54.918608181978875
0.5,0.2536734693877551,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.7078369197674186,72.9324045040968,51.03025808660529
0.5,0.2942857142857143,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.8565562146118135,74.51420605527173,53.82713893689177
0.5,0.3348979591836735,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,3.982185876849355,75.58234316833807,54.18810810366473
0.5,0.37551020408163266,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.059099763592315,74.30419833821415,53.94690036605715
0.5,0.41612244897959183,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.330374040925191,71.64394532789377,50.536066042204325
0.5,0.45673469387755106,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.254214278263503,75.81734901122582,54.535459821997236
0.5,0.49734693877551023,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.295027317474258,74.36394682134915,52.780001790566814
0.5,0.5379591836734694,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.379486587189653,77.0857982517761,55.42692035032058
0.5,0.5785714285714286,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.253698472013631,73.62738777591092,53.38950002934592
0.5,0.6191836734693877,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.315821424862396,74.96791127932087,54.19251154668444
0.5,0.659795918367347,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.477793388045424,74.49505476890963,52.87757950983258
0.5,0.7004081632653062,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.6144831062794776,74.82040532099938,53.221470416256636
0.5,0.7410204081632653,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.0,4.644031962259704,73.88993576465786,52.42571602464745
