lambda,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,best_theta_blocking_ratios,best_blocking_ratios_value,best_theta_latency,best_latency_value,best_theta_ram_usage_per_request,best_ram_usage_per_request_value,best_theta_cpu_usage_per_request,best_cpu_usage_per_request_value
0.01,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.6148893380402336,3.7903030303030305,2.8798896591984326,3.7903030303030305,1.362295720335893
0.1109090909090909,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.25712846235642417,4.899191919191919,4.279111494053954,4.596767676767677,2.049555653382601
0.21181818181818182,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.25418821316826185,4.697575757575758,4.162363840111812,4.697575757575758,2.0412652682197794
0.31272727272727274,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.25716287442146724,4.445555555555556,4.144213485268675,4.445555555555556,1.9915050509281071
0.41363636363636364,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.24062434319302164,4.445555555555556,4.173743601034321,4.445555555555556,2.0437314350749247
0.5145454545454545,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.23730437548321967,4.445555555555556,4.097117578311321,5.0,2.0098768535734153
0.6154545454545455,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.2210545347569984,4.445555555555556,4.062188940969098,4.092727272727273,1.9914965358641457
0.7163636363636363,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.22095672615939219,4.294343434343435,4.004010797460454,4.294343434343435,1.960554348790874
0.8172727272727273,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.23289178742203748,3.840707070707071,4.002064020942402,3.840707070707071,1.9485840326494255
0.9181818181818182,light-app-intensive-traffic,#1f77b4,o,5.0,1.0,20,3,1,5,5,0.01,0.0,0.01,0.22308844299258343,4.445555555555556,3.936041249134371,4.445555555555556,1.944487411810903
