lambda,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,best_theta_blocking_ratios,best_blocking_ratios_value,best_theta_latency,best_latency_value,best_theta_ram_usage_per_request,best_ram_usage_per_request_value,best_theta_cpu_usage_per_request,best_cpu_usage_per_request_value
4.147272727,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.059566037,0.161212121,52.76665345,0.463636364,50.61028472
4.248181818,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.088381589,0.161212121,52.58958567,0.362828283,50.52305764
4.349090909,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.057285481,0.161212121,51.79217571,0.161212121,50.22971387
4.45,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.08249891,0.110808081,52.14493431,0.766060606,50.51225012
4.550909091,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.071101883,0.211616162,51.64930498,1.824545455,50.38131642
4.651818182,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.087607324,0.211616162,52.35543505,0.715656566,50.68294371
4.752727273,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.030579249,0.211616162,51.8333981,0.06040404,50.57234205
4.853636364,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.079140424,0.161212121,51.40991818,0.110808081,50.30025259
4.954545455,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.073854833,0.211616162,51.67326193,0.665252525,50.40720906
5.055454545,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.05474297,0.110808081,51.6424053,2.177373737,50.54789272
5.156363636,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.072653106,0.161212121,51.16976014,0.715656566,50.40356469
5.257272727,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.063588553,0.06040404,51.13790515,0.06040404,50.28804231
5.358181818,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.059705248,0.161212121,50.87702819,0.463636364,50.20803655
5.459090909,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.07070292,0.312424242,51.05562705,0.312424242,50.44474052
5.56,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.070270934,0.161212121,51.2802653,1.572525253,50.46773053
5.660909091,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.049954729,0.262020202,50.90472336,0.766060606,50.36058536
5.761818182,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.059112963,0.161212121,50.63442906,0.514040404,50.40685566
5.862727273,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.058556157,0.211616162,50.83263086,0.614848485,50.51159574
5.963636364,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.067941393,0.110808081,50.70565446,1.27010101,50.37617526
6.064545455,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.056955122,0.161212121,50.46633849,1.370909091,50.35921787
6.165454545,medium-app-medium-traffic,#ff7f0e,s,0.5,0.25,40,10,1,20,25,0.01,0,0.01,2.046301997,0.161212121,50.59243687,0.463636364,50.21310617
