lambda,best_theta_overall,best_theta_blocking,best_theta_waiting,best_theta_cpu,best_theta_ram,best_blocking_prob,best_waiting_time,best_cpu_usage,best_ram_usage,best_blocking_error,best_waiting_error,best_cpu_error,best_ram_error,best_overall_error
1.0,1.0,0.01,0.01,0.89,1.0,0.0,0.017860278147877995,24.449989014623803,29.009759701849056,0.0,0.003745145657710657,0.48939522037452193,0.47913605330305625,0.022676165753826097
2.0,0.89,0.01,0.01,1.0,1.0,0.0,0.011332580325124585,25.171703671066645,26.97385464385847,0.0,0.0032305162602103716,0.30848773498780996,0.2278985165950831,0.008217360973275077
3.0,0.89,0.01,0.01,1.0,1.0,0.0,0.010732572608022156,25.813041354444078,26.363380373039707,0.0,0.0024676928845564984,0.21679982872898185,0.1350240374002411,0.010368469464176553
4.0,1.0,0.01,0.01,1.0,1.0,0.0,0.009482630298265914,26.12785668648719,26.117985576325612,0.0,0.0022698406134090466,0.13226646701623634,0.08837979865329408,0.005670535343245753
5.0,1.0,0.01,0.01,1.0,1.0,0.0,0.008907827395798259,26.465766121710498,25.923753410162952,0.0,0.0011869724531460898,0.15441396229687285,0.1116379439866199,0.006813551747745582
6.0,1.0,0.01,0.01,1.0,1.0,0.0,0.008132943328483126,26.75864445253283,25.873240848329353,0.0,0.001150279629486949,0.13360828558807034,0.09191063815576675,0.005774772082943317
7.0,1.0,0.01,0.01,1.0,1.0,0.0,0.006479832265521018,26.941489755310705,25.81982340025953,0.0,0.0015166750689977284,0.1007072746741039,0.07886629407366935,0.004594726896263507
8.0,1.0,0.01,0.01,1.0,1.0,0.0,0.006940923553784126,27.07090825930815,25.699734188177075,0.0,0.0005955498729876934,0.0741890004598626,0.06795678555322762,0.003636459351200459
9.0,1.0,0.01,0.01,1.0,1.0,0.0,0.007311991985910005,27.245295370692013,25.68287737362765,0.0,0.00110479245961403,0.09574391538886146,0.04481756685486059,0.0036141721897480564
10.0,1.0,0.01,0.01,1.0,1.0,0.0,0.005965320969243364,27.302253825621627,25.613713654195085,0.0,0.000715009075853059,0.10045830298549517,0.05395441421450794,0.003967134443866006
