theta,blocking_prob_mean,blocking_prob_lower,blocking_prob_upper,waiting_time_mean,waiting_time_lower,waiting_time_upper,cpu_usage_mean,cpu_usage_lower,cpu_usage_upper,ram_usage_mean,ram_usage_lower,ram_usage_upper
0.0,0.016124021458878122,0.010341068641648559,0.021906974276107685,2.422472253658583e-16,-7.394985967991961e-17,5.584443104116362e-16,61.538225827373495,57.673783669287495,65.40266798545949,340.3822582737352,301.7378366928752,379.0266798545952
0.1111111111111111,0.02265778029529686,0.01629278990696037,0.029022770683633348,0.18241182586203683,0.15237010549536267,0.212453546228711,25.491551912394055,24.843967918908593,26.139135905879517,44.85868775623499,43.2577787209311,46.459596791538885
0.2222222222222222,0.028835947042832936,0.021691011701663966,0.035980882384001905,0.2927298462738008,0.24544374363725496,0.3400159489103466,23.120256912009857,22.45453789239232,23.785975931627394,38.01287361295916,36.8002808284718,39.225466397446525
0.3333333333333333,0.03431469084469231,0.026387580264915146,0.042241801424469476,0.37670212447579754,0.31676902750417296,0.4366352214474221,21.688857931937605,21.021101436572845,22.356614427302365,34.30023509484533,33.28862519721582,35.31184499247483
0.4444444444444444,0.03920549438052002,0.030561186048837754,0.04784980271220228,0.4455353142234968,0.3755368102755307,0.5155338181714628,20.672019024990064,20.00578891424128,21.33824913573885,31.839780794764728,30.955228565441484,32.724333024087976
0.5555555555555556,0.043619084264269775,0.03433245321934795,0.0529057153091916,0.5042895044108061,0.4259081591256877,0.5826708496959245,19.891806428437842,19.228185555652257,20.55542730122343,30.047016483047216,29.251023321305127,30.843009644789305
0.6666666666666666,0.047640290073208774,0.037780036153202495,0.05750054399321505,0.5557666834331523,0.4701944853372725,0.6413388815290321,19.264672358262736,18.603989019879645,19.925355696645827,28.664327115692018,27.93388292768218,29.394771303701855
0.7777777777777777,0.051332734558278206,0.04095820532493376,0.061707263791622655,0.6017068285465943,0.5098353105371255,0.6935783465560631,18.74440496760939,18.086706614228667,19.402103320990115,27.556128528634144,26.876260010752116,28.23599704651617
0.8888888888888888,0.05474481822231837,0.043906464063858404,0.06558317238077835,0.6432743439770199,0.5457964353142365,0.7407522526398033,18.30272205415781,17.64794139370145,18.957502714614172,26.64276154370844,26.00313534996822,27.28238773744866
1.0,0.057914146636994755,0.04665481887596744,0.06917347439802207,0.681290945629865,0.5787609488180111,0.783820942441719,17.921066115785827,17.269088604005965,18.57304362756569,25.873737928398292,25.26690559774756,26.480570259049024
