lambda,best_theta_overall,best_theta_blocking,best_theta_waiting,best_theta_cpu,best_theta_ram,best_blocking_prob,best_waiting_time,best_cpu_usage,best_ram_usage,best_blocking_error,best_waiting_error,best_cpu_error,best_ram_error,best_overall_error
1.0,0.8240000000000001,0.01,0.01,0.9120000000000001,0.9120000000000001,0.0,0.015606316489034327,24.592550974085523,28.88887844961651,0.0,0.0032930784308146527,0.2572618567713896,0.533811101651297,0.08799999999999998
2.0,0.9120000000000001,0.01,0.01,0.9780000000000001,1.0,0.0,0.012785421764243837,25.07264124480494,26.91539282660945,0.0,0.0019450099520061626,0.19731353685204558,0.19955052134762283,0.08231646250902669
3.0,0.9560000000000001,0.01,0.01,0.9560000000000001,0.9560000000000001,0.0,0.011487970968807939,25.822232629652085,26.419646197346445,0.0,0.003114441418452592,0.19248343488106393,0.11538238308686244,0.053888774341229906
4.0,0.9560000000000001,0.01,0.01,0.9780000000000001,1.0,0.0,0.008409684971598294,26.285611565837918,26.10326515311383,0.0,0.0014130964436026231,0.11699388541684176,0.06735727512663786,0.088
5.0,0.9780000000000001,0.01,0.01,1.0,1.0,0.0,0.00845011410754379,26.52253783384426,25.99139783876201,0.0,0.0012790246394390496,0.18192100369033765,0.10334602110736515,0.044
6.0,0.89,0.01,0.01,0.9780000000000001,0.9780000000000001,0.0,0.006949214352211028,26.673865806670676,25.86641265627543,0.0,0.0014196522388870026,0.049143459051365336,0.09408790193749836,0.09838699100999074
7.0,0.9560000000000001,0.01,0.01,0.978,0.978,0.0,0.00737161967987651,27.0038863004415,25.752417474017136,0.0,0.0010639579858147984,0.06242197412985573,0.06450106020472866,0.053888774341229906
8.0,0.9560000000000001,0.01,0.01,0.9780000000000001,1.0,0.0,0.007060561043955102,27.05037963560959,25.6516634903482,0.0,0.0007452969867475093,0.09807325417026924,0.04257004756359419,0.053888774341229906
9.0,0.9560000000000001,0.01,0.01,1.0,1.0,0.0,0.0069520997856966135,27.16738726795105,25.645462329391666,0.0,0.0009572219201194174,0.1117239404073616,0.051466855454619716,0.053888774341229906
10.0,1.0,0.01,0.01,1.0,1.0,0.0,0.006170461836958173,27.33368487472286,25.62305832562519,0.0,0.0011850588382238433,0.1385328443630409,0.09444537651271984,0.0
