lam,mu,alpha,beta,theta,max_queue,iteration,blocking_prob,waiting_time,cpu_usage,ram_usage,effective_arrival_rate,waiting_requests,processing_requests,idling_requests
1.0,1.0,0.1,1.0,0.0,5,0,0.00306748466257664,-4.803849625781974e-16,34.015384615384626,65.15384615384617,0.9969325153374233,-4.789113890733563e-16,0.9969325153374233,4.0030674846625764
1.0,1.0,0.1,1.0,0.1111111111111111,5,0,0.09651133751609661,1.6803877840298718,12.38355770289052,21.238482071791566,0.9034886624839034,1.5182113114474391,0.9034886624839038,1.3663901803026945
1.0,1.0,0.1,1.0,0.2222222222222222,5,0,0.16954076226350237,2.5536684818084328,9.483951435298525,17.454693172351472,0.8304592377364977,2.1207175808343504,0.8304592377364973,0.9543229113754579
1.0,1.0,0.1,1.0,0.3333333333333333,5,0,0.22473425925994292,3.1977326368348717,8.137024289769933,15.85868611418952,0.775265740740057,2.4790925613844426,0.7752657407400572,0.743727768415333
1.0,1.0,0.1,1.0,0.4444444444444444,5,0,0.2675659691125666,3.715153981971194,7.3276639023929535,14.954047428514688,0.7324340308874334,2.721105206382661,0.7324340308874334,0.6122486714360988
1.0,1.0,0.1,1.0,0.5555555555555556,5,0,0.3016843737214397,4.148123547475922,6.778156247460334,14.364041029371144,0.6983156262785604,2.8966994929364924,0.6983156262785604,0.5214059087285686
1.0,1.0,0.1,1.0,0.6666666666666666,5,0,0.329472915823456,4.519314494342845,6.377098406798618,13.94595592692483,0.670527084176544,3.0303227703685005,0.670527084176544,0.45454841555527525
1.0,1.0,0.1,1.0,0.7777777777777777,5,0,0.35253054952110163,4.842813041184677,6.069929019156709,13.63292026639804,0.6474694504788984,3.135573498547885,0.6474694504788983,0.40314516409901396
1.0,1.0,0.1,1.0,0.8888888888888888,5,0,0.37196388008230363,5.128186841332943,5.826373899072678,13.389128095184196,0.6280361199176964,3.220686566043729,0.6280361199176963,0.36232723867991956
1.0,1.0,0.1,1.0,1.0,5,0,0.38856119810652257,5.382329723656891,5.628127071354303,13.193556366746028,0.6114388018934774,3.290965237628421,0.6114388018934771,0.32909652376284215
1.0,1.0,0.1,1.0,0.0,11,0,9.216155621772998e-09,-9.13787936372434e-16,40.00000010137775,125.00000101377725,0.9999999907838444,-9.137879279508222e-16,0.999999990783844,10.000000009216155
1.0,1.0,0.1,1.0,0.1111111111111111,11,0,0.002093426307970924,1.9420135909636709,11.451281505397708,21.039419538519084,0.9979065736920291,1.9379481286219105,0.9979065736920296,1.74415331575972
1.0,1.0,0.1,1.0,0.2222222222222222,11,0,0.006097141701556326,2.91767418691538,8.737487074691922,17.18016162116516,0.9939028582984437,2.8998847139587838,0.9939028582984444,1.3049481212814538
1.0,1.0,0.1,1.0,0.3333333333333333,11,0,0.01109096279045331,3.5977846457530323,7.542136639981634,15.609952602082915,0.9889090372095467,3.5578817501189213,0.9889090372095459,1.0673645250356774
1.0,1.0,0.1,1.0,0.4444444444444444,11,0,0.01665642551343793,4.120269897664559,6.844820942080564,14.74010311073943,0.9833435744865621,4.051640929018848,0.983343574486562,0.9116192090292411
1.0,1.0,0.1,1.0,0.5555555555555556,11,0,0.022505327201182715,4.543203875889927,6.379159303043517,14.18129433727184,0.9774946727988173,4.440957586121343,0.9774946727988173,0.7993723655018419
1.0,1.0,0.1,1.0,0.6666666666666666,11,0,0.02843945094209998,4.897126910330876,6.042212841724529,13.789250376543542,0.9715605490579,4.757855309807283,0.9715605490579002,0.7136782964710928
1.0,1.0,0.1,1.0,0.7777777777777777,11,0,0.03432633041274115,5.2002294263342295,5.785081145583346,13.49761400285008,0.9656736695872589,5.021724632823822,0.9656736695872585,0.6456503099344914
1.0,1.0,0.1,1.0,0.8888888888888888,11,0,0.04008028516140624,5.464274593101322,5.581292218515707,13.271412532476175,0.9599197148385937,5.245264909209594,0.9599197148385935,0.5900923022860795
1.0,1.0,0.1,1.0,1.0,11,0,0.04564822902088407,5.697333544954786,5.415150172230985,13.090384166478676,0.9543517709791159,5.437260358486324,0.9543517709791159,0.5437260358486324
1.0,1.0,0.1,1.0,0.0,17,0,1.0210619020597485e-15,-1.412219349244134e-15,46.00000000000008,185.00000000000048,0.999999999999999,-1.4122193492441326e-15,0.9999999999999984,15.999999999999996
1.0,1.0,0.1,1.0,0.1111111111111111,17,0,1.3010212324091413e-05,1.952290397913724,11.418033869519506,21.03232039918568,0.9999869897876759,1.9522649982011289,0.999986989787678,1.7570384983810217
1.0,1.0,0.1,1.0,0.2222222222222222,17,0,4.91434305148962e-05,2.9397298101539584,8.69668984315052,17.165157385396864,0.9999508565694851,2.9395853417463007,0.9999508565694859,1.322813403785835
1.0,1.0,0.1,1.0,0.3333333333333333,17,0,0.00010783037569252134,3.6294628131004756,7.4994233799188565,15.59209339926921,0.9998921696243075,3.629071446761777,0.9998921696243075,1.0887214340285334
1.0,1.0,0.1,1.0,0.4444444444444444,17,0,0.0001900291343069772,4.159410257832229,6.802187810625877,14.721212670216506,0.999809970865693,4.158619848701705,0.9998099708656939,0.9356894659578832
1.0,1.0,0.1,1.0,0.5555555555555556,17,0,0.0002956835216897911,4.587896329159076,6.337576000401052,14.162248549802008,0.9997043164783103,4.586539763815322,0.9997043164783095,0.8255771574867583
1.0,1.0,0.1,1.0,0.6666666666666666,17,0,0.0004238151805667053,4.945772353770135,6.002187114379949,13.770520833418692,0.9995761848194333,4.94367626036698,0.9995761848194329,0.7415514390550473
