lambda,profile_name,profile_color,profile_marker,service_rate,spawn_rate,max_queue,ram_warm,cpu_warm,ram_demand,cpu_demand,best_theta_blocking_ratios,best_blocking_ratios_value,best_theta_latency,best_latency_value,best_theta_ram_usage_per_request,best_ram_usage_per_request_value,best_theta_cpu_usage_per_request,best_cpu_usage_per_request_value
0.01,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,1.1356565656565658,-5.56206455038953e-16,0.01,15.249973112811881,2.0,713.436623967317,2.0,552.2394373278263
0.1109090909090909,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,3.264725039807629e-15,0.01,11.599983778123034,0.9748484848484849,698.5031715800442,0.9748484848484849,549.7505285968624
0.21181818181818182,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,5.946697682982974e-11,0.01,11.146498451687114,0.17080808080808083,652.2098277261687,0.17080808080808083,542.0349712876947
0.31272727272727274,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,1.3254225415691667e-08,0.01,10.93821191774929,0.13060606060606061,616.5806941793581,0.13060606060606061,536.0967823632259
0.41363636363636364,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,4.798264746819552e-07,0.01,10.812642860109824,0.11050505050505051,592.2699576375087,0.11050505050505051,532.044992939585
0.5145454545454545,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,6.452023592001265e-06,0.01,10.726506233229758,0.11050505050505051,574.7105276064967,0.11050505050505051,529.1184212677496
0.6154545454545455,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,4.660896692879628e-05,0.01,10.662563051118216,0.0904040404040404,561.0749896293473,0.0904040404040404,526.8458316048913
0.7163636363636363,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.00022013326354010227,0.01,10.61202814701866,0.0904040404040404,550.0343423668388,0.0904040404040404,525.0057237278064
0.8172727272727273,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.0007642699399263079,0.01,10.569317949241507,0.0904040404040404,540.6691398240937,0.0904040404040404,523.444856637349
0.9181818181818182,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.002104850355601092,0.01,10.53030382611193,0.0904040404040404,532.2903832558054,0.0904040404040404,522.048397209301
1.019090909090909,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.004846703937799104,0.01,10.492010286491883,0.0904040404040404,524.4453592517591,0.0904040404040404,520.7408932086263
1.1199999999999999,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.009688980790536825,0.01,10.45280872110059,0.0904040404040404,516.8849558037231,0.0904040404040404,519.4808259672872
1.220909090909091,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.017284759342445454,0.01,10.412479995314392,0.0703030303030303,509.27518471446996,0.0703030303030303,518.212530785745
1.3218181818181818,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.028088387315657652,0.01,10.371901154409043,0.0703030303030303,501.7874972711371,0.0703030303030303,516.964582878523
1.4227272727272726,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.04224636519438046,0.01,10.332464276840224,0.0703030303030303,494.5502072944006,0.0703030303030303,515.7583678824003
1.5236363636363637,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.05957440223839386,0.01,10.295500682316248,0.050202020202020206,487.2680550758576,0.050202020202020206,514.544675845976
1.6245454545454545,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.07962147693773595,0.01,10.261928659092309,0.050202020202020206,480.2481354469638,0.050202020202020206,513.3746892411606
1.7254545454545454,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.1017820902552855,0.01,10.232167573329383,0.0301010101010101,473.4843418286983,0.0301010101010101,512.2473903047829
1.8263636363636364,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.12540913519666902,0.01,10.206226508836746,0.0301010101010101,466.79429064120706,0.0301010101010101,511.132381773534
1.9272727272727272,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.14989738893907786,0.01,10.183851378761002,0.01,460.670954991134,0.01,510.11182583185575
2.028181818181818,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.17473015367160197,0.01,10.164657259140341,0.01,454.33689551631403,0.01,509.0561492527191
2.129090909090909,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.19949557788508426,0.01,10.148220457295757,0.01,448.91275090760075,0.01,508.1521251512669
2.2299999999999995,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.2238835139191741,0.01,10.13413207533135,0.01,444.263584859344,0.01,507.3772641432238
2.3309090909090906,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.24767249577722603,0.01,10.122023885442982,0.01,440.2678821961859,0.01,506.7113136993645
2.4318181818181817,heavy-app-light-traffic,#2ca02c,^,0.1,0.1,20,30,5,40,50,0.01,0.27071336458520695,0.01,10.111577236382164,0.01,436.8204880061148,0.01,506.13674800101904
